Class,AvgX,AvgY,AvgZ,AvgTX1, AvgTX2,AvgTY1,AvgTY2,AvgTZ1,AvgTZ2,StdX,StdY,StdZ,StdTX1,StdTX2,StdTY1,StdTY2,StdTZ1,StdTZ2,AbsDiffX,AbsDiffY,AbsDiffZ,AbsDiffTX1,AbsDiffTX2,AbsDiffTY1,AbsDiffTY2,AbsDiffTZ1,AbsDiffTZ2,AvgResultantXYZ,AvgResultantTXYZ
3,0.19496,-1.0096,0.091783,1.8,1,1.2,1.2,2,2.4,0.11221,0.10542,0.10654,0.78881,0,0.42164,0.42164,1.1547,0.5164,0.095148,0.092846,0.093077,0.64,0,0.32,0.32,0.8,0.48,6.2214,29.202
3,0.35729,-0.94228,0.24673,1,1.6,1.2,1.4,2,2.2,0.037944,0.051138,0.080682,0,1.2649,0.42164,0.5164,0.66667,0.78881,0.031044,0.043942,0.062846,0,0.96,0.32,0.48,0.4,0.64,11.376,51.836
3,0.028237,-0.98929,-0.049998,1.6,2,2,1,2.4,2.2,0.05974,0.060586,0.1135,0.5164,1.1547,0.66667,0,1.075,0.78881,0.052843,0.04994,0.093118,0.48,0.8,0.4,0,0.88,0.64,17.475,79.636
3,0.054227,-1.0179,-0.08367,1.4,2.8,3.4,2.6,2.2,1.4,0.1687,0.17508,0.083852,0.84327,1.0328,2.6331,1.5776,1.2293,0.5164,0.13869,0.094857,0.067828,0.64,0.96,2.08,1.28,1.04,0.48,24.34,111.97
3,0.083669,-0.9651,0.12038,1.8,1.6,3.8,9,4.2,2.2,0.13765,0.30361,0.11146,1.2293,0.5164,1.8135,4.3205,1.8135,0.78881,0.1237,0.25684,0.094714,0.96,0.48,1.44,4,1.44,0.64,31.977,155.76
3,0.10025,-1.0295,0.18576,3.2,1.6,3.6,3.2,3,2.6,0.11859,0.4043,0.13523,0.78881,1.2649,2.6331,1.5492,1.7638,1.2649,0.086963,0.28286,0.10222,0.64,0.96,2.32,1.44,1.2,1.12,40.416,211.71
3,0.50998,-0.75404,0.21463,1.8,4.4,5.4,4,4,1.4,0.19268,0.28444,0.080051,0.78881,2.3664,3.6271,1.7638,2.2111,0.5164,0.16768,0.21908,0.067828,0.64,2.08,3.28,1.6,2,0.48,49.377,275.58
3,0.51719,-0.88491,0.65495,3.4,3.4,6.4,9.6,7.8,5.6,0.22451,0.45762,0.31096,1.9551,2.3664,2.7968,5.0596,2.5298,5.5618,0.18703,0.37703,0.24596,1.68,1.92,2.32,4.48,2.24,4.16,59.003,352.11
3,-0.15055,-0.78359,-0.21777,5.6,7.4,7.8,10,9.2,6.4,0.47807,0.38531,0.38392,5.5618,4.2479,5.5936,3.1972,3.1552,5.7966,0.39415,0.33619,0.30784,4.16,3.68,4.96,2.4,2.56,4.32,69.52,457.16
3,0.20746,-0.89615,0.22959,3.2,4.4,7,12.4,6.2,5.2,0.15863,0.49077,0.45511,1.9322,6.1319,3.6515,3.3066,5.4732,1.5492,0.11153,0.42679,0.39214,1.76,4.64,3.2,2.88,4.24,1.12,80.615,578.62
3,0.39265,-0.96199,0.29739,4.6,5.2,5.4,5.6,6.8,5.2,0.33083,0.27601,0.23185,2.0656,5.7116,3.1693,3.0984,2.1499,2.044,0.25902,0.21431,0.17741,1.92,4.32,2.72,2.88,1.84,1.76,92.339,713.62
3,-0.19401,-0.98117,-0.063434,2.4,1.4,2.2,3.4,2.4,2,0.11214,0.13389,0.11456,1.4298,0.5164,1.5492,3.0984,1.5776,0,0.0948,0.081342,0.095999,1.04,0.48,1.12,2.88,1.28,0,104.53,852.69
3,0.10089,-0.96254,-0.27953,1.4,1.8,1.2,2.6,3.8,2.4,0.10533,0.065938,0.099591,0.84327,0.42164,0.42164,0.84327,2.1499,1.4298,0.081227,0.054502,0.085464,0.64,0.32,0.32,0.64,1.84,1.28,117.13,993.03
3,-0.020882,-0.93341,-0.3377,2.2,2.4,2.2,1.4,6.6,2.4,0.11928,0.087226,0.12411,1.0328,0.84327,0.78881,0.84327,1.5776,0.5164,0.096005,0.064168,0.097627,0.96,0.64,0.64,0.64,1.28,0.48,130.13,1135.6
3,-0.16664,-0.94866,-0.3301,3,4.8,4.8,2.6,4.6,3.6,0.23756,0.17264,0.16045,3.1972,2.8597,2.8597,1.4298,3.1693,0.84327,0.19815,0.14626,0.12083,2.4,2.56,2.56,1.28,2.32,0.64,143.54,1281.7
3,-0.40353,-0.89525,-0.20959,1.6,1.4,3,2.2,4,3,0.067575,0.12561,0.15616,0.84327,0.5164,2.2111,1.5492,2.8284,1.7638,0.04742,0.075392,0.11973,0.72,0.48,2,1.44,2.4,1.6,157.35,1431.4
3,-0.4665,-0.87877,-0.15345,1.8,1,1.4,1.4,1.6,1.4,0.064511,0.050209,0.045092,0.42164,0,0.5164,0.5164,0.5164,0.5164,0.051752,0.043327,0.036473,0.32,0,0.48,0.48,0.48,0.48,171.54,1581.8
3,-0.42516,-0.88808,-0.16305,2,1.4,3,1.8,2.6,1,0.069842,0.11244,0.057661,1.1547,0.5164,2.7487,0.78881,1.9551,0,0.05805,0.075256,0.038092,0.8,0.48,2,0.64,1.52,0,186.07,1732.8
3,0.14413,-0.97986,-0.12431,2,3.4,3.8,1.4,3.4,2.2,0.32829,0.1491,0.069176,1.1547,2.2706,3.3599,0.84327,1.5776,0.78881,0.24942,0.11645,0.054927,0.8,2.08,2.96,0.64,1.28,0.64,200.98,1886.2
3,0.20411,-0.91304,-0.30671,1.4,2,2.8,2,2.4,2.6,0.10023,0.10808,0.082421,0.5164,0.94281,1.0328,0,0.5164,1.5776,0.082591,0.080008,0.066294,0.48,0.8,0.96,0,0.48,1.28,216.23,2040.9
3,0.1258,-1.0299,0.16209,1.2,1.6,1.6,1.6,2.6,3,0.049211,0.054788,0.12393,0.42164,0.5164,0.5164,0.5164,1.075,1.7638,0.043517,0.041984,0.10508,0.32,0.48,0.48,0.48,0.88,1.6,231.82,2196.6
3,0.19266,-0.83959,-0.34978,1.6,2.2,2.8,3.4,4.4,3,0.088532,0.19255,0.22091,0.84327,0.78881,2.044,2.0656,4.2479,2.3094,0.0638,0.15147,0.18797,0.72,0.64,1.76,1.92,3.04,1.6,247.75,2353.9
3,0.16123,-1.0272,-0.16135,1.6,1,2.8,4.6,1.8,4.2,0.067909,0.1642,0.08476,0.84327,0,2.3476,2.3664,1.0328,1.5492,0.0477,0.12697,0.072169,0.72,0,1.76,2.08,0.96,1.12,264.01,2514.2
3,0.2875,-0.97532,0.11791,1.6,3.6,1.6,1.4,1.8,2,0.042765,0.024213,0.093552,0.5164,1.2649,0.84327,0.5164,1.2293,0,0.034799,0.019055,0.07991,0.48,0.96,0.72,0.48,0.96,0,6.1776,33.272
3,0.31981,-0.96449,0.022349,1.8,4.2,1.8,2.6,2,3,0.074844,0.053971,0.13149,1.0328,1.5492,1.0328,2.3664,1.633,0,0.064301,0.04589,0.11709,0.96,1.44,0.96,1.76,1.2,0,11.336,62.98
3,0.039552,-0.98089,-0.16597,2.2,3.8,2.2,4.2,2.2,2.6,0.1186,0.051048,0.042722,1.5492,1.9322,1.2293,2.044,1.2293,0.5164,0.090923,0.034706,0.034372,1.44,1.76,1.04,1.76,1.04,0.48,17.393,102.39
3,-0.073277,-0.98707,-0.17245,2.2,1.8,2.4,4.4,2,2.4,0.02199,0.053634,0.036992,0.78881,0.78881,1.2649,1.9551,0.94281,2.9515,0.01831,0.044647,0.028939,0.64,0.64,1.12,1.44,0.8,2.24,24.215,147.72
3,0.027693,-1.0767,0.23339,2.4,3.4,7.8,6.4,7.2,4.8,0.064192,0.1308,0.1452,1.4298,1.4298,6.4429,4.7889,3.9665,1.9322,0.04507,0.094049,0.11741,1.28,1.28,5.76,4.32,3.04,1.44,31.864,212.49
3,0.3351,-0.77421,0.11288,3.8,10.8,4.8,9.2,3.6,1.6,0.23258,0.14772,0.036688,3.9101,1.9322,3.9101,3.6148,2.0656,1.2649,0.18461,0.12183,0.028502,2.88,1.44,3.36,3.04,1.52,0.96,40.104,293.72
3,0.44522,-0.82844,0.34549,4,8,7.4,10,4,2.4,0.069894,0.14074,0.097349,2.2111,3.1972,4.1952,3.9441,3.3333,1.2649,0.054275,0.099005,0.076204,2,2.4,3.52,3.2,2.4,1.12,48.906,392.64
3,0.36824,-0.98992,0.25374,8.8,11.4,8.4,10.6,6.8,6.2,0.32592,0.21929,0.24471,4.8717,4.2479,5.0155,4.7889,5.3083,5.0067,0.25808,0.17429,0.20555,4.24,3.68,4.08,4.32,3.76,4.64,58.387,512.4
3,-0.17196,-0.87514,-0.36408,4.8,8.2,3,7.4,5.8,2.2,0.17109,0.10875,0.11748,3.3599,2.044,1.4907,2.9515,1.9322,1.0328,0.15066,0.090522,0.087718,2.96,1.76,1.2,2.72,1.76,0.96,68.47,648.86
3,0.18569,-0.97987,-0.014726,4,1.6,4.2,5,5.2,6.4,0.13489,0.086745,0.28627,4.3205,0.5164,3.7357,1.1547,3.5528,2.3664,0.10815,0.075934,0.23574,3.2,0.48,2.72,0.8,3.04,1.76,79.043,793.1
3,0.52068,-0.86754,0.27706,5.2,5.6,2.2,2.2,2.4,2.4,0.11575,0.055009,0.10858,1.9322,2.3664,2.044,0.42164,1.5776,0.5164,0.095317,0.042822,0.094294,1.76,1.92,1.52,0.32,1.28,0.48,90.12,940.47
3,0.19118,-0.98108,0.033122,4.2,10,3,3.4,3.4,2.2,0.18526,0.053151,0.077631,2.1499,3.4641,0.94281,1.4298,1.9551,0.42164,0.14336,0.040459,0.069212,1.52,3.2,0.8,1.28,1.44,0.32,101.68,1093.3
3,-0.27119,-0.93542,-0.18623,3.4,5.6,2.2,2.2,2.4,2.2,0.090142,0.029217,0.051081,1.075,1.2649,0.42164,1.0328,1.075,0.42164,0.067339,0.022751,0.037713,0.88,0.96,0.32,0.96,0.88,0.32,113.66,1249.6
3,-0.10788,-0.95975,-0.26233,3.2,4,2.2,2,3.6,2.4,0.089141,0.030757,0.054674,2.1499,1.7638,1.0328,2.1082,1.4298,1.2649,0.074175,0.025713,0.043611,1.52,1.6,0.72,1.6,1.28,1.12,126.05,1407.7
3,0.19948,-0.96471,-0.2401,6.6,5.6,5.2,5.6,4.8,5.6,0.12424,0.11556,0.16824,4.1419,4.6476,3.3599,3.3066,3.3599,1.2649,0.10553,0.092123,0.13969,3.12,4.32,2.96,2.88,2.64,1.12,138.87,1571.2
3,-0.066162,-0.9022,-0.47951,9.4,5.4,5.2,8,5.6,7.2,0.18877,0.13277,0.16315,6.2752,5.6804,3.4254,2.8284,2.9515,0.78881,0.15224,0.10631,0.12955,5.28,5.28,3.04,2.4,2.48,0.64,152.11,1746.3
3,0.032123,-0.84655,-0.52857,3.4,3.4,4.2,3.2,3,4,0.058434,0.090141,0.070656,2.8752,1.2649,2.2509,1.0328,2.3094,1.7638,0.053379,0.069714,0.048448,2.48,0.96,1.84,0.96,1.6,1.6,165.74,1925.7
3,0.17594,-0.87047,-0.4546,4.8,8.2,3.2,1.8,5,3.4,0.10119,0.032931,0.086766,3.7947,6.6131,1.6865,0.42164,4.2687,2.3664,0.069645,0.025844,0.049357,2.88,5.76,1.44,0.32,3.2,2.08,179.74,2111
3,0.14277,-0.97655,-0.20818,4,8.6,2,3.4,9.6,6.2,0.17117,0.13485,0.20822,3.0551,6.1319,0.94281,1.5776,3.9215,2.5298,0.14498,0.12111,0.16963,2.8,5.28,0.8,1.28,3.12,2.24,194.11,2302.3
3,0.052675,-0.96972,-0.33298,6.8,5.4,3,3.4,7,4.2,0.11216,0.058812,0.15234,5.9404,4.8351,1.7638,3.0984,5.8119,3.3599,0.078319,0.046009,0.12312,5.36,4.48,1.6,2.88,4.8,3.04,208.86,2502.3
3,0.12852,-0.97615,-0.23727,3.4,3,2.8,1.4,2.4,1.8,0.066459,0.033728,0.045261,2.4585,2.582,1.2293,0.5164,1.8379,0.78881,0.058038,0.028983,0.027074,1.84,2.4,1.04,0.48,1.68,0.64,223.97,2704.5
3,-0.026266,-1.0057,-0.15236,2.6,5.8,3,3,4,3.6,0.17625,0.04792,0.085152,1.4298,0.42164,0.94281,1.8856,2.1082,0.84327,0.15576,0.035776,0.07252,1.12,0.32,0.8,1.6,1.6,0.64,239.41,2908.6
3,-0.023895,-0.96972,-0.24971,4,4.2,5,3.8,2.2,4.8,0.069917,0.073094,0.073822,1.1547,1.0328,3.5901,1.9322,1.0328,2.044,0.049789,0.058583,0.061393,0.8,0.96,2.8,1.76,0.72,1.76,255.19,3115.1
3,0.19063,-0.94938,-0.28557,3.2,3,6,4.4,2,2,0.066447,0.07816,0.049275,2.6998,2.1082,2.9814,1.2649,0.94281,0,0.053345,0.062309,0.039678,1.92,1.6,2.4,0.96,0.8,0,271.29,3324.6
3,0.081763,-0.95826,-0.26796,4.2,7.4,3.4,5.2,8.8,8.8,0.076383,0.18699,0.20671,2.4404,1.4298,2.3664,5.0067,5.1381,6.3034,0.05334,0.15794,0.13422,2.16,1.28,2.08,4.64,4.24,5.76,287.72,3538.7
3,0.022017,-0.97088,-0.31632,3.6,4,2.4,2,3.6,4.2,0.057386,0.058458,0.11635,2.3664,1.7638,0.84327,0.94281,3.9215,4.1312,0.036654,0.05103,0.080055,2.08,1.6,0.64,0.8,2.96,3.84,304.47,3759.6
3,0.36616,-0.92972,0.22848,1.8,2.7,2.6,2.3,1.6,2.2,0.086964,0.075396,0.082266,0.78881,1.6364,1.4298,1.3375,0.5164,1.5492,0.075877,0.050438,0.063458,0.64,1.5,1.28,1.1,0.48,1.44,6.3073,37.32
3,0.19509,-0.97433,0.073067,2.2,4,4,2.6,2.8,4.2,0.21122,0.1478,0.14807,0.78881,2.582,4,0.96609,1.9322,2.2509,0.18395,0.10734,0.12225,0.64,2.4,3.2,0.84,1.44,1.92,11.531,71.799
3,-0.080868,-0.92922,-0.27248,2.4,1.1,2.8,2.5,1.2,2.2,0.050224,0.073473,0.034644,1.4298,0.31623,1.0328,2.4608,0.42164,1.5492,0.039437,0.060461,0.026451,1.04,0.18,0.72,1.6,0.32,1.12,17.646,116.11
3,-0.045279,-1.0837,0.21966,1.6,1.7,5.6,6.7,4.2,7.1,0.04395,0.23247,0.28439,0.84327,0.48305,5.5217,2.0575,3.2249,1.4491,0.033798,0.19166,0.25158,0.72,0.42,4.16,1.62,2.64,1.26,24.603,171.69
3,0.24242,-0.76442,0.15953,3.6,5.5,3,3.8,3,2,0.21947,0.22018,0.069011,2.2706,1.2693,2.2111,0.63246,1.633,2.3094,0.17982,0.18167,0.05251,2.08,0.8,1.6,0.36,1.2,1.6,32.331,239.45
3,0.59704,-0.74595,0.28925,4.4,5.1,5,5.7,2.6,2.9,0.22949,0.21233,0.14481,3.0258,0.8756,3.7118,5.4375,1.4298,0.8756,0.17501,0.16565,0.12034,2.48,0.72,2.8,5.04,1.28,0.72,40.624,317.48
3,0.19574,-0.95862,0.43508,7,10.2,5,7.6,3.2,8.1,0.45858,0.27029,0.3602,2.2111,5.2026,2.4037,3.34,4.1312,6.4023,0.34837,0.20363,0.29298,1.6,4.64,2,2.72,3.12,5.9,49.671,408.4
3,-0.051944,-0.74897,-0.51427,5.2,7.4,4.4,10.1,7.8,11.8,0.32036,0.25561,0.24027,3.7357,2.5033,1.5776,4.0947,5.1381,2.8983,0.24466,0.20298,0.18892,2.72,2.04,1.28,3.54,3.76,2.52,59.432,523.11
3,0.30301,-0.90761,0.47119,6,4.2,3.4,4.9,4,3.8,0.24038,0.26244,0.25589,4.2687,1.9889,1.5776,4.5814,3.4641,4.5656,0.19076,0.20689,0.18943,3.6,1.8,1.28,3.12,2.8,2.88,69.765,653.56
3,0.41951,-0.89019,0.31481,2.2,4.4,1.6,3.2,3,3.6,0.16909,0.11007,0.20521,1.6865,2.0656,0.84327,1.3166,2.2111,1.7127,0.13285,0.075993,0.15559,1.44,1.92,0.72,1.08,1.6,1.44,80.66,787.35
3,-0.22303,-0.92365,-0.13152,6.2,7.1,3.8,2.2,3.4,2.8,0.23757,0.092625,0.11354,4.8717,0.99443,2.044,0.42164,3.0984,1.9322,0.16433,0.075314,0.092044,3.52,0.72,1.76,0.32,2.24,1.76,92.02,925.46
3,-0.074391,-0.99594,-0.17131,2.6,4,3,3.4,2.4,3.7,0.16335,0.078968,0.10295,1.075,0.8165,0.94281,0.5164,1.5776,1.2517,0.12976,0.056036,0.088432,0.88,0.6,0.8,0.48,1.28,1.02,103.83,1067.5
3,0.34253,-0.85944,-0.40614,3.4,6.2,3.2,2.1,2.8,4.3,0.19321,0.09348,0.090458,2.3664,1.2293,3.0111,0.99443,0.42164,1.1595,0.15043,0.074372,0.072317,1.92,0.8,2.64,0.9,0.32,1.04,116.08,1212.7
3,0.062257,-0.89344,-0.47837,9,4,4.4,2.5,6.6,4.8,0.2352,0.15514,0.22019,4.0552,2.708,2.7162,1.7795,4.971,1.9322,0.19134,0.11475,0.14732,2.8,2.4,2.32,1.5,3.76,1.68,128.78,1364
3,0.19396,-0.93102,-0.1927,4.4,4.6,2,4.2,2,5.5,0.2595,0.115,0.21686,2.4585,1.2649,1.3333,2.6162,0.94281,2.273,0.22124,0.098603,0.185,2.08,0.72,1.2,2.4,0.8,2,141.9,1521.1
3,0.44952,-0.92082,0.029955,3.8,1,3.4,1.8,1.4,2.5,0.090248,0.089952,0.076039,2.9364,0,3.0984,1.0328,0.84327,1.7795,0.066435,0.061352,0.059353,2.16,0,2.24,0.96,0.64,1.5,155.42,1681.3
3,0.14432,-0.98726,-0.036916,2.4,3.4,4,3,4.2,6.6,0.21348,0.13263,0.15551,0.84327,3.0984,3.0551,2.1082,3.1552,4.0056,0.18635,0.11467,0.10226,0.72,2.88,2.8,2,2.32,3,169.34,1843.7
3,0.21733,-0.8312,-0.45683,3,3,5.4,5.9,3,7.6,0.088608,0.23827,0.20985,1.8856,1.633,2.2706,4.4083,1.8856,6.5524,0.071581,0.18854,0.15615,1.6,1.2,1.92,3.66,1.6,5.28,183.65,2012.5
3,0.090761,-1.0487,-0.20501,4.2,2.7,5.6,6.4,7.6,2.8,0.10711,0.23721,0.31591,2.5298,0.94868,1.9551,3.5024,1.075,1.9322,0.089861,0.19676,0.25475,2.24,0.7,1.52,3.2,0.88,1.28,198.36,2187.3
3,0.085594,-0.96992,-0.2244,1.2,1.9,1.6,3,2,2.2,0.045327,0.05141,0.07284,0.42164,0.8756,0.5164,0.8165,1.1547,1.3166,0.038204,0.041362,0.056076,0.32,0.72,0.48,0.6,0.8,1.08,213.44,2365
3,0.10943,-0.99759,-0.2413,3.8,2,1.6,2.3,1.8,1.5,0.1,0.049525,0.050348,2.2509,1.0541,0.5164,1.4944,0.78881,0.52705,0.072087,0.034685,0.036268,1.84,1,0.48,1.36,0.64,0.5,228.86,2543.4
3,0.32624,-0.93448,0.29721,1.4,3.8,1.6,1.8,2,1.4,0.084504,0.082774,0.046978,0.5164,0.63246,0.84327,0.42164,0.94281,0.84327,0.066994,0.070718,0.03468,0.48,0.36,0.72,0.32,0.8,0.64,6.3661,33.73
3,0.094343,-0.99047,0.063916,3.2,3.6,2.4,1.9,3,2.2,0.19002,0.12775,0.13499,2.3476,0.5164,1.2649,1.4491,1.4907,1.0328,0.16864,0.083686,0.11014,1.84,0.48,1.12,1.26,1.2,0.96,11.581,63.117
3,-0.063989,-0.98251,-0.17083,1.6,1.7,1.6,1.7,1,2,0.036198,0.059157,0.039485,0.5164,0.94868,0.5164,0.94868,0,1.2472,0.032458,0.04761,0.03098,0.48,0.7,0.48,0.7,0,0.8,17.693,98.922
3,-0.08867,-1.0837,0.17466,2.2,3.3,2.4,1,3,3.3,0.095723,0.13213,0.16608,0.78881,2.3594,1.5776,0,0.94281,1.2517,0.077778,0.10277,0.13758,0.64,2.16,1.28,0,0.8,1.02,24.707,139.89
3,0.29449,-0.75075,0.16381,3.4,2.8,2.4,3.3,3.4,2.2,0.15058,0.20675,0.11248,1.4298,1.9322,1.075,1.6364,2.7162,1.1353,0.11335,0.15919,0.088361,1.12,1.76,0.88,1.5,2.48,1,32.383,186.21
3,0.61401,-0.81763,0.2186,5.4,7.9,5.4,8.2,3,4.8,0.2235,0.45132,0.085092,5.6016,6.9833,5.8348,6.7626,2.2111,2.2509,0.15433,0.30624,0.067798,4.24,6.48,4.24,6.24,1.6,1.92,40.759,253.15
3,0.35921,-0.86891,0.68199,2.6,7.8,3.6,8.2,6.6,9.9,0.18055,0.38619,0.28903,1.075,2.2509,1.4298,2.8983,5.2324,5.3427,0.13986,0.30258,0.20261,0.88,1.76,1.12,2.24,3.92,4.88,49.854,341.44
3,-0.17006,-0.84249,-0.33496,5.4,5.9,1.4,4.7,3.4,4.4,0.30218,0.13447,0.14978,4.4522,2.7264,0.5164,2.6268,1.7127,2.2211,0.25869,0.10549,0.11191,4.08,2.34,0.48,2.16,1.52,1.92,59.692,445.8
3,0.28248,-0.92635,0.29253,2.8,3.2,1.4,2.3,3,4.5,0.13254,0.12557,0.27701,0.78881,1.5492,0.5164,1.3375,1.4907,2.3688,0.099601,0.11299,0.23189,0.64,1.44,0.48,1.1,1.2,2.1,70.039,554.76
3,0.3824,-0.8867,0.38863,2.6,3.3,1,2,2.2,3.8,0.14994,0.063228,0.12602,1.8379,2.3594,0,0,1.0328,1.7512,0.13762,0.053108,0.10278,1.36,2.16,0,0,0.72,1.44,80.925,665.97
3,-0.1087,-0.96778,-0.1088,3.2,4.2,1,1.2,1.6,3.1,0.18031,0.032596,0.13483,1.0328,1.9322,0,0.42164,0.5164,1.1972,0.1394,0.021032,0.10591,0.72,1.44,0,0.32,0.48,0.58,92.275,779.61
3,-0.24508,-0.90764,-0.28345,1.8,3.1,1,1.6,1.8,1.7,0.094476,0.031415,0.041753,0.78881,1.4491,0,0.5164,0.42164,0.48305,0.074815,0.025214,0.033513,0.64,1.26,0,0.48,0.32,0.42,104.05,894.63
3,0.15417,-0.95502,-0.33398,1.8,4.1,1,4.7,1.8,2,0.1449,0.11049,0.074217,0.78881,2.846,0,2.1108,0.78881,0.94281,0.1113,0.085053,0.06015,0.64,2.5,0,1.9,0.64,0.8,116.26,1011.4
3,0.13718,-0.87973,-0.42808,2.6,6.7,2.6,3.8,3.2,2.9,0.17527,0.13951,0.092804,0.84327,3.6833,0.5164,1.9322,1.5492,1.8529,0.13367,0.1111,0.075008,0.64,3.18,0.48,1.68,1.36,1.68,128.89,1131.9
3,0.19653,-0.88994,-0.45251,2.4,4.2,1.6,2.3,4.6,2.1,0.073673,0.060364,0.10942,0.5164,3.0478,0.5164,0.67495,3.0984,1.1972,0.055655,0.047157,0.080656,0.48,1.92,0.48,0.56,2.72,1.1,141.93,1256.7
