Class,AvgX,AvgY,AvgZ,AvgTX1, AvgTX2,AvgTY1,AvgTY2,AvgTZ1,AvgTZ2,StdX,StdY,StdZ,StdTX1,StdTX2,StdTY1,StdTY2,StdTZ1,StdTZ2,AbsDiffX,AbsDiffY,AbsDiffZ,AbsDiffTX1,AbsDiffTX2,AbsDiffTY1,AbsDiffTY2,AbsDiffTZ1,AbsDiffTZ2,AvgResultantXYZ,AvgResultantTXYZ
3,0.040756,-0.97848,-0.31633,2.6,2.1,6.4,6,6.2,2.6,0.026424,0.14552,0.12637,1.075,0.73786,6.0222,1.4907,2.2509,1.4298,0.020889,0.1029,0.10879,0.88,0.38,5.28,0.8,1.84,1.28,6.1713,83.084
3,0.11281,-0.92621,-0.35354,5,2.3,4,3.7,3.6,1.9,0.089672,0.084035,0.043906,4.0552,1.2517,2.4944,2.3594,2.0656,0.8756,0.065755,0.062571,0.033362,3.6,1.02,2,2.16,1.52,0.72,11.241,148.17
3,0.21124,-0.9191,-0.25473,3,3.5,2.4,4.6,4.4,5.1,0.045763,0.10054,0.19352,1.4907,1.4337,1.2649,2.2706,2.2706,3.414,0.035201,0.085277,0.16783,1.2,1.2,1.12,2,1.92,3.12,17.203,222.73
3,0.098749,-1.0149,0.0090821,4,1.3,3.6,3.4,4.2,6.7,0.041481,0.068383,0.14707,1.633,0.48305,2.7162,1.7127,2.6162,4.0291,0.028511,0.055311,0.13014,1.2,0.42,2.08,1.44,2.24,3.42,23.972,303.61
3,0.0011657,-0.91871,-0.258,5.8,4.3,3.2,2.2,5.8,3.9,0.097677,0.067406,0.20148,3.7357,1.4944,1.6865,2.6998,3.5528,2.0248,0.083583,0.050568,0.16076,2.96,1.12,1.44,1.92,2.56,1.7,31.466,394.49
3,0.089607,-0.9314,-0.29295,1.8,2.1,1.8,4.2,2.6,2.4,0.050051,0.099222,0.079909,0.42164,0.8756,0.78881,3.4254,1.2649,0.96609,0.042413,0.070859,0.062831,0.32,0.72,0.64,2.88,1.12,0.84,39.568,490.91
3,0.053944,-0.99842,-0.13735,4.4,8.5,1.4,2.6,7,7,0.13219,0.07131,0.10726,3.4383,4.8362,0.5164,2.0656,5.4975,3.4641,0.098423,0.054144,0.077249,2.88,4.3,0.48,1.92,4.8,2.4,48.293,592.95
3,-0.086049,-0.84875,-0.47296,7.6,9.2,4.4,1.4,2.8,4.9,0.17572,0.14761,0.1007,4.2999,5.0067,3.6271,0.5164,1.6865,2.7264,0.15086,0.1079,0.089167,3.68,4.08,2.64,0.48,1.44,2.34,57.599,709.69
3,-0.16654,-0.83236,-0.47986,11.8,3,7.2,4.3,5.4,2.9,0.1694,0.16497,0.050375,3.7947,1.8257,4.492,2.406,3.6878,1.792,0.13062,0.10527,0.040732,3.36,1.6,3.84,2.16,3.28,1.52,67.405,838.44
3,0.030849,-0.891,-0.37848,4,5.3,4.8,3.1,4.6,5.5,0.14996,0.085203,0.18628,2.4037,3.093,2.4404,0.8756,4.0332,1.7795,0.1295,0.060363,0.1477,2,2.58,2.16,0.72,2.96,1.5,77.726,975.75
3,0.39867,-1.0082,0.42221,5.6,9,4.6,5.3,10.2,11.4,0.16603,0.13519,0.25977,5.9479,4.6188,3.0984,2.406,1.9322,4.0607,0.14441,0.091996,0.21757,5.52,3.2,2.32,2.16,1.44,3.8,88.601,1124.5
3,0.32688,-0.80658,0.0098176,6.2,3.9,3.2,2,5.8,7.3,0.086352,0.065848,0.18132,3.4254,2.1833,1.8135,0,2.1499,6.0194,0.071195,0.056011,0.1354,2.32,1.74,1.44,0,1.84,5.22,100.01,1285
3,0.12557,-0.92977,-0.050443,4,4.2,3,2.7,4.2,1.9,0.059897,0.10012,0.07569,3.3333,3.1198,1.3333,1.1595,1.5492,2.2336,0.042024,0.069329,0.061633,2.4,2.6,1.2,1.04,1.44,1.44,111.75,1448.6
3,0.0066909,-0.96237,-0.05867,3.8,7.2,3.4,7.9,4.4,5.2,0.089787,0.14261,0.07092,3.4897,3.6148,2.1705,6.1725,1.9551,1.9322,0.070346,0.11467,0.055194,2.56,3.36,1.68,4.86,1.52,1.68,123.93,1617.1
3,0.16102,-1.0437,-0.1172,3,3.6,2.8,10.4,4.4,2.6,0.0371,0.19353,0.066863,1.8856,2.4585,1.2293,4.3512,3.5653,0.69921,0.031163,0.161,0.055864,1.6,1.6,0.96,4,2.64,0.6,136.54,1794.2
3,0.062959,-0.96394,-0.14741,3.2,2.5,6.2,5.2,3,2,0.11461,0.11647,0.034533,1.8135,1.354,4.077,1.5492,2.2111,0,0.10179,0.095623,0.026349,1.44,1.2,3.36,1.44,2,0,149.54,1974.9
3,-0.01678,-1.0118,-0.1538,3,4,2.6,1.3,3.2,2.3,0.069781,0.045146,0.044066,1.1547,2.6247,2.3664,0.94868,2.6162,1.4944,0.048872,0.029244,0.033658,0.8,2.4,1.76,0.54,1.92,1.36,162.93,2157.7
3,0.17577,-0.94538,-0.11538,3.8,1.9,2.6,2.9,2.6,2,0.063454,0.048532,0.046612,3.4254,0.8756,1.9551,2.1833,1.075,0.8165,0.039238,0.040682,0.040091,2.56,0.72,1.52,1.86,0.88,0.6,176.68,2342.6
3,0.18153,-0.97952,-0.031811,4.8,2.3,4.8,5,5,2,0.058048,0.12258,0.055782,2.5298,1.3375,2.9364,3.8006,2.4944,1.0541,0.043189,0.10714,0.046987,1.84,1.1,2.56,3.4,2,1,190.8,2530.3
3,0.22131,-1.0036,-0.063596,4.8,3.4,8,4.4,4.4,3.3,0.080884,0.13391,0.065157,3.3599,1.7127,5.6174,0.5164,3.6271,2.3594,0.069698,0.10698,0.049727,2.48,1.44,5.2,0.48,2.64,2.16,205.27,2721.9
