Class,AvgX,AvgY,AvgZ,AvgTX1, AvgTX2,AvgTY1,AvgTY2,AvgTZ1,AvgTZ2,StdX,StdY,StdZ,StdTX1,StdTX2,StdTY1,StdTY2,StdTZ1,StdTZ2,AbsDiffX,AbsDiffY,AbsDiffZ,AbsDiffTX1,AbsDiffTX2,AbsDiffTY1,AbsDiffTY2,AbsDiffTZ1,AbsDiffTZ2,AvgResultantXYZ,AvgResultantTXYZ
1,0.12229,-0.9354,-0.20304,2.7,4.2,2.4,6.4,2.9,3.8,0.080285,0.15772,0.074315,2.1051,1.7652,1.1425,4.0315,2.8819,3.5184,0.067048,0.11909,0.049957,1.84,1.44,1,3.04,1.68,2.96,8.8846,89.953
1,0.093904,-0.98747,-0.17891,4.3,4.8,4,5,4.5,4.6,0.090574,0.20514,0.10194,2.9397,2.1909,3.6128,3.0435,3.5615,3.7049,0.076576,0.16253,0.078085,2.5,1.84,3,2.4,3.2,3.12,16.168,175.66
1,0.061755,-1.0083,-0.19832,4,5.8,3.3,4.6,4.6,3.2,0.090648,0.20788,0.089227,2.2942,4.073,3.0796,3.2831,4.3091,2.0926,0.07381,0.16978,0.0668,2,3.76,1.88,3.12,3.44,1.52,24.755,277.06
1,0.093564,-0.93068,-0.14936,3.6,3.2,3.3,3,3.4,3.6,0.088672,0.15726,0.079781,2.4366,1.5079,2.5152,2.1521,3.5303,0.50262,0.073365,0.12013,0.057818,1.88,1.12,1.96,2,2.76,0.48,34.488,391.03
1,0.11961,-0.9975,-0.19895,4.1,3.8,3.6,6.8,5.3,4.8,0.10091,0.18577,0.098704,2.49,2.0926,3.8169,2.7834,3.6143,1.0052,0.077222,0.15459,0.069677,1.94,1.76,2.76,2.24,3.16,0.72,45.234,517.18
1,0.096723,-0.93808,-0.18584,2.3,4,3.5,4.2,4,3.2,0.06664,0.14877,0.078436,1.3803,0.91766,1.469,2.0926,2.2478,3.5184,0.054525,0.11133,0.056171,1.16,0.8,1.2,1.52,1.6,2.72,56.888,654.27
1,0.069406,-1.0095,-0.16906,2.1,4,3.6,2.4,4.4,3.2,0.080551,0.18119,0.095413,1.1653,2.753,2.5215,1.3917,2.7606,2.1909,0.066658,0.1453,0.070367,1.1,2.4,1.72,1.04,2.08,1.84,69.415,799.22
1,0.077957,-0.95643,-0.19795,2.1,3.6,3.6,5.6,2.7,3.4,0.070236,0.15594,0.064994,1.1653,1.0463,1.9029,2.6438,1.1286,1.667,0.059312,0.11242,0.048928,0.94,0.88,1.52,2.32,0.9,1.52,82.726,950.2
1,0.11522,-0.976,-0.16542,3,8.4,3.7,5.8,4.3,4.8,0.10166,0.19398,0.086156,1.5894,2.1126,2.7164,4.6521,2.9753,3.6361,0.079445,0.15295,0.064331,1.4,1.68,1.78,4.16,2.36,3.36,96.806,1112.4
1,0.11676,-0.98053,-0.20336,2,3.4,3,3.4,4.2,3.4,0.074301,0.13339,0.081935,1.5894,2.3033,1.214,2.3033,3.334,1.3917,0.060607,0.10232,0.056715,1.2,1.92,1,2.08,2.48,1.04,111.59,1282.9
1,0.077581,-0.9689,-0.16379,3.1,3.4,3.1,6.4,4.3,4.6,0.075872,0.17909,0.084948,2.49,1.9029,2.125,4.3335,3.3419,4.1346,0.059797,0.14705,0.061384,2.14,1.68,1.54,3.68,2.62,3.92,127.07,1461.6
1,0.086685,-1.012,-0.17269,2.5,6,3.7,2.4,2.9,3.4,0.085395,0.18824,0.070666,2.1151,3.3717,3.1805,1.5355,2.4473,2.6438,0.07142,0.14578,0.051353,1.5,2.8,2.44,1.28,1.86,2.08,143.19,1647.2
1,0.086466,-0.93589,-0.15334,3.4,2.8,3,3.4,4.1,3.4,0.094907,0.16264,0.09148,2.0105,2.7067,2.2005,3.0848,3.2911,1.667,0.078738,0.10981,0.067066,1.56,2.08,1.8,2.48,2.92,1.28,159.94,1839.5
1,0.10336,-1.0186,-0.16186,2.5,3.6,4.2,5.8,4.9,3.6,0.084544,0.19349,0.10201,1.6702,2.9451,4.021,1.6416,3.7403,1.3917,0.068191,0.1475,0.075841,1.1,2.72,2.72,1.44,3.28,1.12,177.31,2038.2
1,0.089481,-0.94883,-0.19469,3,5.4,2.4,5.8,3.7,4.4,0.07246,0.16162,0.086072,2.2942,1.3917,1.0463,2.7834,3.0105,3.0157,0.060482,0.11829,0.061939,2,1.12,0.88,2.24,1.98,2.24,195.27,2244.6
1,0.041013,-0.98402,-0.1482,2.8,5.8,2.6,6.8,3.9,4.8,0.093639,0.19548,0.082528,3.1052,2.7834,1.4654,4.3722,2.49,3.8058,0.078814,0.1466,0.060965,2.16,2.24,1.12,4.16,1.7,3.36,213.81,2459.2
1,0.056343,-0.98939,-0.21361,2.6,5,3,2.6,3.5,4,0.082957,0.15442,0.09211,1.5355,3.2444,2.2478,1.2312,2.6852,3.6128,0.07193,0.1263,0.065187,1.2,2.8,1.8,1.12,2.2,3.2,232.89,2680.1
1,0.07356,-0.9561,-0.1517,2.3,2.6,3.9,5.8,3.7,3.4,0.085684,0.18453,0.082856,2.7164,1.667,2.9895,3.0018,3.4351,0.82078,0.075325,0.13611,0.059447,1.68,1.52,2.28,2.24,2.24,0.72,252.51,2906.7
1,0.10258,-1.0023,-0.1889,3.1,6,3.2,6.2,4.6,5,0.078489,0.17216,0.094016,1.4832,3.6128,2.5874,2.4623,3.4397,3.4336,0.064093,0.14421,0.064896,1.12,2.4,1.68,2.24,2.92,3.2,272.64,3139.4
1,0.085396,-0.94929,-0.16806,2.7,3.8,2.1,2.8,2.4,3.6,0.07147,0.16385,0.087046,1.3018,2.3753,1.5526,1.8806,1.7889,1.3917,0.058012,0.11059,0.062452,1.02,2.24,1.16,1.44,1.24,1.12,293.29,3377.9
1,0.048232,-1.0105,-0.16231,3.5,4.6,3.8,5.2,4.4,3.4,0.090306,0.16815,0.096325,2.3508,2.6438,2.0926,2.285,2.9806,1.3917,0.070399,0.13367,0.073006,1.8,2.32,1.84,1.76,2.48,1.12,314.43,3620.5
1,0.055916,-0.94849,-0.16925,3.2,2.6,2.4,6,3,4.2,0.080066,0.16669,0.087435,2.1423,1.7889,1.3139,4.634,2.8284,4.1751,0.064726,0.12355,0.060607,1.68,1.36,1.2,4,2.2,3.12,336.05,3869.1
1,0.088157,-0.99408,-0.12429,3.7,5.8,3.3,4.2,4.2,6,0.089477,0.20423,0.1072,2.1546,2.9308,2.0026,1.8806,3.4274,3.947,0.068683,0.17602,0.081211,1.58,2.56,1.56,1.76,2.48,3.2,358.16,4124.2
1,0.10322,-0.99623,-0.17042,3.4,3,2.8,5.4,4.2,3.8,0.093302,0.17641,0.10612,2.1619,2.1521,1.9894,2.7985,3.3966,0.41039,0.073444,0.14009,0.078821,1.44,1.6,1.36,2.32,2.52,0.32,380.72,4384.5
1,0.042132,-0.99185,-0.086859,3.9,3.2,3.5,4,3.9,3.8,0.10402,0.16728,0.14096,2.8451,1.9894,3.7906,1.451,3.0245,2.858,0.076483,0.12708,0.11518,2.08,1.84,2.9,1.2,2.3,2.16,403.75,4649.7
1,0.099481,-0.95028,-0.12991,2.8,4,2.9,4.8,3.1,3.6,0.099864,0.17222,0.075751,1.5761,2.052,3.8784,2.7067,2.0235,1.667,0.081084,0.1046,0.057526,1.4,1.6,2.26,2.24,1.72,1.52,427.22,4919.1
