Class,AvgX,AvgY,AvgZ,AvgTX1, AvgTX2,AvgTY1,AvgTY2,AvgTZ1,AvgTZ2,StdX,StdY,StdZ,StdTX1,StdTX2,StdTY1,StdTY2,StdTZ1,StdTZ2,AbsDiffX,AbsDiffY,AbsDiffZ,AbsDiffTX1,AbsDiffTX2,AbsDiffTY1,AbsDiffTY2,AbsDiffTZ1,AbsDiffTZ2,AvgResultantXYZ,AvgResultantTXYZ
4,0.053414,-0.91835,-0.22323,5.8667,6.1833,4.0333,3.4833,5.4333,5.6833,0.22755,0.1354,0.3446,4.8344,4.6047,3.3897,2.4529,4.1635,3.9595,0.16879,0.097178,0.26213,4.1911,3.8533,2.6489,1.9628,3.5778,3.0817,14.767,187.42
4,0.11106,-0.95303,-0.086283,3.8667,4.2333,3.5333,4.9167,4.1667,3.55,0.13868,0.13831,0.10629,2.8011,2.9249,2.5741,4.5297,2.4986,3.377,0.11405,0.10964,0.074826,2.1156,2.3778,2.0089,3.5222,2.0667,2.0783,27.155,359.61
4,0.16952,-0.97127,-0.11965,4.3333,2.8333,5.1,4.2833,4.4333,2.3333,0.095513,0.10991,0.083467,3.5638,1.5312,4.4824,2.3513,3.461,1.4575,0.074048,0.088349,0.068267,2.6667,1.2611,3.7267,1.7733,2.5111,1.1111,41.788,553.38
4,0.052007,-0.89715,-0.27017,2.9333,3.05,1.8667,2.8667,3.5,6.75,0.12324,0.12129,0.30585,2.8634,2.2656,0.99943,2.5476,2.3542,3.9127,0.089957,0.097286,0.25657,2.04,1.7067,0.80889,1.7244,1.9667,3.1667,14.676,149.88
4,0.18622,-0.89936,-0.032436,4.0667,6.4,3.8,4.8167,5.0667,7.0667,0.21874,0.1764,0.34116,3.4536,3.7062,3.4582,3.5772,3.5504,4.7723,0.18519,0.12331,0.25738,2.6889,2.8333,2.7333,3.1133,2.9511,4.1533,26.989,294.62
4,0.20733,-0.97654,-0.091031,3.2,4.8,3.1,4.85,3.1333,3.85,0.13101,0.14034,0.089455,3.6117,3.7317,2.5953,3.4779,3.2389,3.4189,0.10705,0.099082,0.07227,2.4533,3.06,1.9467,2.62,2.12,2.62,41.636,484.79
4,0.10602,-0.9456,-0.093828,3.3,3.9,3.2667,2.7167,2.6667,3.3,0.10561,0.11012,0.27615,1.7496,2.886,2.1774,2.4083,1.674,2.4791,0.081081,0.073893,0.23623,1.4933,1.95,1.6889,1.7889,1.3111,1.9867,14.782,172.62
4,0.21335,-0.84691,-0.1815,5.3667,5.4833,4.7667,3.2333,4.1333,3.7833,0.27859,0.13345,0.37785,3.4196,3.9423,3.5671,2.317,2.3683,2.3728,0.23208,0.10153,0.31529,2.7178,3.0606,2.8689,1.68,1.9111,1.9717,27.132,314.88
4,0.15415,-0.96387,-0.054357,3.4667,3.8,5.8667,5.55,3.0333,3.1167,0.1269,0.19021,0.1526,3.1648,3.3487,4.5003,3.7163,2.0746,2.3223,0.10661,0.13529,0.12909,2.2533,2.8133,3.7644,3.1083,1.6444,1.8928,41.77,487.41
4,0.1221,-0.92485,-0.21797,1.5333,2.3333,2.8333,3.4667,2.5,2.7333,0.14546,0.12815,0.24274,0.76947,1.5033,2.6944,2.9428,1.4202,1.6247,0.11336,0.090227,0.21467,0.64,1.2889,1.5333,2.4267,1.1,1.3156,14.799,125.91
4,0.24944,-0.88302,-0.11751,3.1333,5.2,4,5.8,4,6.5333,0.29407,0.19853,0.34207,3.4122,4.3756,3.4543,4.4065,3.6546,4.7424,0.21359,0.14695,0.23889,2.1289,3.36,2.5333,3.6533,2.8,3.9111,27.277,256.36
4,0.17815,-0.97336,-0.048035,1.6,2.2667,3.1,4.3333,2.1333,2.4,0.15748,0.10856,0.10839,0.80675,1.2469,3.018,2.6468,1.2949,1.9415,0.13284,0.08245,0.094253,0.68,1.0222,1.9467,2.2667,0.92889,1.2,42.059,417.04
4,0.14498,-0.93403,-0.28473,1.9333,4.5167,2.0667,2.25,2.8667,4.4833,0.090492,0.064872,0.11921,1.1026,3.6429,1.1913,1.5473,2.111,3.5247,0.079613,0.048823,0.099795,0.87111,2.4394,0.95556,1.1333,1.64,2.8133,14.678,144.56
4,0.14403,-0.87284,-0.18116,3.8333,7.1167,2.6667,5.3167,5.2333,6.3167,0.24336,0.14476,0.35946,3.5423,5.2111,2.0721,3.851,3.6423,4.7353,0.19801,0.10089,0.2828,2.4667,4.5733,1.5111,2.7644,2.8444,3.8311,26.96,279.71
4,0.15789,-0.98121,-0.079758,3.1333,5.9833,3.0333,3.8167,3.4,2.6667,0.12657,0.10229,0.062621,3.0998,3.9809,2.4904,1.9265,2.5056,1.7337,0.11328,0.082189,0.046271,2.0444,3.5844,1.8511,1.4289,1.9067,1.3778,41.531,457.09
4,0.00022813,-0.90823,-0.35542,2.6333,5.2,2.5667,3.8667,2.4,1.9667,0.10714,0.09021,0.15565,2.786,3.9178,2.2351,3.4713,1.9761,1.2208,0.085312,0.06938,0.1195,1.5533,2.9333,1.4889,2.5067,1.24,0.90222,14.764,168.94
4,0.21584,-0.87895,-0.080451,4.0333,5.8833,5.1333,5.6333,3.6667,4.5,0.24936,0.15212,0.35772,3.3897,3.294,3.9722,3.746,3.029,2.5677,0.21478,0.11902,0.2826,2.7111,2.76,3.2356,2.7422,2.0222,2.1333,27.083,315.38
4,0.20186,-0.95644,-0.12595,2.7,4.3333,2.5667,4.0167,1.8667,1.9167,0.1596,0.084599,0.064769,2.1495,3.7762,2.764,3.7799,1.0651,1.0782,0.13709,0.063914,0.052955,1.6867,3.0667,1.8022,3.3222,0.86667,0.88611,41.663,489.36
4,0.032261,-0.91547,-0.30787,3.0667,3.2667,2.9,3.7833,3.4667,4.45,0.09662,0.10836,0.1863,3.1454,2.7793,1.7143,2.4432,2.7151,3.0887,0.074286,0.078553,0.15659,2.1644,2.0489,1.2533,2.0761,2.3289,2.1133,14.724,175.95
4,0.17009,-0.91485,-0.023285,5.9333,6.2167,6.0333,6.7333,5.6,6.0333,0.23409,0.1411,0.34957,4.0916,4.1908,3.7776,4.1817,3.6322,4.0671,0.18829,0.11074,0.26572,3.3956,3.705,3.1711,3.3711,2.7867,3.0444,27.047,333.85
4,0.13322,-0.97743,-0.056386,3.1667,4.3333,4.2,4.1833,3,2.7667,0.13094,0.091805,0.079921,3.4649,3.8912,3.686,3.5487,2.3289,2.4312,0.11203,0.066949,0.063242,2.3111,2.7111,2.6133,3.1472,1.8,1.53,41.652,533.84
4,0.072272,-0.96525,-0.11621,2.5667,2.1333,1.2667,1.8,3.6333,3,0.075228,0.10172,0.24236,1.2125,1.1856,0.57833,0.91688,1.6153,1.2756,0.057186,0.073605,0.20836,1.0333,0.99778,0.42667,0.74667,1.3067,0.93333,14.703,93.827
4,0.15898,-0.83985,-0.16982,4.0333,4.6667,1.5333,2.25,4,4.6833,0.28126,0.19512,0.40317,2.5309,2.6976,1.1856,2.237,3.0808,3.8773,0.22536,0.13399,0.31776,2.0422,1.9222,0.74667,1.3917,2.4667,3.255,27.064,189.44
4,0.2207,-0.98273,-0.070656,4.7333,4.5167,2.7667,4.2667,3.9667,3.05,0.15618,0.36291,0.13465,3.3439,4.0063,2.702,3.9138,3.8222,3.3315,0.12713,0.2625,0.093581,2.5956,2.9083,1.4178,2.6311,2.6267,2.075,41.973,334.06
4,0.071358,-0.9003,-0.21566,2.4333,3.2167,3.3667,3.3667,5.8333,4.5667,0.15133,0.13278,0.31046,1.6811,3.2159,3.0751,2.3862,4.3576,3.6002,0.11174,0.096685,0.25841,1.2733,2.5106,2.5133,1.8122,3.6667,3.0033,14.872,157.54
4,0.18193,-0.90669,-0.052185,3.2333,6.3,6.5667,3.95,5.7,5.3333,0.24159,0.17758,0.37381,2.2502,4.3775,3.9547,2.9136,4.1182,3.8031,0.18469,0.14513,0.2804,1.88,3.5033,3.2133,2.4383,3.2133,2.9111,27.315,314.51
4,0.16878,-0.96714,-0.015537,1.9667,5.0667,4.4,3.9333,3.0667,2.45,0.14781,0.13326,0.1417,1.4138,4.5019,3.2165,3.9654,1.9989,1.4778,0.12696,0.097465,0.11581,1.0956,3.5644,2.68,2.8889,1.5511,1.1667,42.035,501.58
4,-0.0026868,-0.89568,-0.37598,2.5667,2.7333,2.5,3.1333,2.8333,4.2,0.11561,0.13922,0.16773,2.0941,1.6659,2.3106,1.6413,1.7288,3.2977,0.086382,0.10066,0.13757,1.5844,1.3511,1.7333,1.3778,1.2556,2.6667,14.715,111.39
4,0.28555,-0.92875,0.032601,3.3333,3.8667,4.1,5.3333,4.8333,6.6667,0.16923,0.2072,0.23191,3.139,3.8066,3.6485,4.9357,3.6181,3.9603,0.12926,0.15154,0.17249,2.1333,2.6578,2.8,4.0444,2.7778,3.0222,27.084,233.44
4,0.17377,-0.9566,-0.15084,2.7667,2.2,3.7667,5.4667,3.6667,3.8667,0.14061,0.14502,0.10311,2.0615,1.5709,2.6385,3.7528,3.0735,2.7276,0.12072,0.11247,0.081328,1.4844,1.2267,2.2533,3.2978,2.1111,1.9556,41.752,392.72
