Class,AvgX,AvgY,AvgZ,AvgTX1, AvgTX2,AvgTY1,AvgTY2,AvgTZ1,AvgTZ2,StdX,StdY,StdZ,StdTX1,StdTX2,StdTY1,StdTY2,StdTZ1,StdTZ2,AbsDiffX,AbsDiffY,AbsDiffZ,AbsDiffTX1,AbsDiffTX2,AbsDiffTY1,AbsDiffTY2,AbsDiffTZ1,AbsDiffTZ2,AvgResultantXYZ,AvgResultantTXYZ
2,0.019749,-0.98565,-0.20254,1.8,1.4,1,1.4,1.6,1.8,0.016947,0.0070412,0.013517,0.78881,0.5164,0,0.5164,0.5164,1.0328,0.013249,0.005832,0.011044,0.64,0.48,0,0.48,0.48,0.96,6.2046,17.461
2,0.019994,-0.99276,-0.12389,1.6,1.8,1,1,2.2,2.2,0.014831,0.00967,0.032655,0.84327,0.78881,0,0,1.5492,0.42164,0.0099695,0.0084305,0.029155,0.72,0.64,0,0,1.12,0.32,11.273,35.574
2,0.056754,-0.99731,-0.14261,3.6,1.4,1.8,1,2,4.6,0.040509,0.019292,0.029894,2.5473,0.84327,1.0328,0,0.66667,2.0656,0.030745,0.012919,0.025696,1.92,0.64,0.96,0,0.4,1.92,17.26,61.774
2,0.078125,-1.0015,-0.10704,3,4.8,2.4,1.6,2.4,3.8,0.053731,0.033184,0.05757,1.4907,2.7809,0.84327,0.5164,1.9551,2.044,0.044351,0.025174,0.04861,1.2,2.56,0.72,0.48,1.44,1.76,24.049,99.081
2,-0.022406,-1.001,-0.032204,1.8,3.6,1.2,3.2,3.2,3,0.035449,0.035006,0.030503,1.0328,0.84327,0.42164,2.4404,1.8135,2.582,0.025766,0.024775,0.024556,0.96,0.64,0.32,2.24,1.44,2.4,31.553,144.48
2,0.0067811,-1.0085,-0.090491,1.4,2.2,1.6,1.6,2,2.2,0.024456,0.021105,0.021399,0.5164,1.5492,0.5164,0.5164,0.94281,0.78881,0.020859,0.017354,0.018025,0.48,1.44,0.48,0.48,0.8,0.64,39.704,194.77
2,0.031883,-1.0104,-0.10341,2.6,3.4,2.2,2,1.6,2.2,0.042802,0.045432,0.025794,2.8752,1.5776,2.5298,0.94281,0.84327,0.78881,0.028731,0.026791,0.020584,2.16,1.28,1.92,0.8,0.72,0.64,48.466,248.61
2,-0.0068176,-1.0151,0.010539,1.6,2.2,2.4,1.2,2.2,5.2,0.020016,0.028661,0.066579,0.5164,0.78881,1.5776,0.42164,1.2293,1.0328,0.014018,0.019567,0.055203,0.48,0.64,1.28,0.32,1.04,0.96,57.8,307.44
2,-0.047275,-0.99648,0.0002609,1.4,2.2,1.8,1.6,1,2.8,0.024711,0.020239,0.014557,0.84327,0.78881,0.42164,0.5164,0,1.9322,0.020663,0.016564,0.012377,0.64,0.64,0.32,0.48,0,1.44,67.663,369.65
2,-0.053409,-1.0097,-0.018131,1.6,4.2,1.8,3.8,1.6,2.2,0.036559,0.036643,0.015661,0.84327,0.78881,1.2293,0.78881,0.5164,1.5492,0.030142,0.03046,0.012274,0.72,0.64,0.96,0.64,0.48,1.12,78.031,434.39
2,-0.13057,-0.98169,0.074135,4.6,7,4.4,7.8,2.6,7.8,0.083821,0.094445,0.06695,2.2706,6.0369,2.1705,2.044,1.9551,1.5492,0.06357,0.067952,0.055669,1.92,5.6,1.68,1.76,1.52,1.12,88.88,511.63
2,-0.105,-0.99402,0.11258,2,2.6,2.2,3,1.6,1.8,0.039257,0.037354,0.032182,0.66667,1.5776,1.5492,0.94281,0.84327,1.6865,0.032799,0.026404,0.022744,0.4,1.28,1.12,0.8,0.72,1.28,100.18,597.51
2,-0.082527,-1.001,-0.035158,2.8,3,2.8,3,3,3.4,0.048742,0.05154,0.037482,1.6865,1.7638,2.3476,0,1.1547,2.0656,0.035365,0.04103,0.02805,1.44,1.6,2.16,0,0.8,1.92,111.92,686.63
2,-0.019048,-0.9764,-0.12436,2.4,3.2,2.6,8.6,2.8,3.4,0.056099,0.086474,0.032626,1.075,2.044,1.9551,5.7966,2.044,1.9551,0.043091,0.071126,0.027372,0.88,1.76,1.52,5.28,1.76,1.44,124.08,780.57
