Class,AvgX,AvgY,AvgZ,AvgTX1, AvgTX2,AvgTY1,AvgTY2,AvgTZ1,AvgTZ2,StdX,StdY,StdZ,StdTX1,StdTX2,StdTY1,StdTY2,StdTZ1,StdTZ2,AbsDiffX,AbsDiffY,AbsDiffZ,AbsDiffTX1,AbsDiffTX2,AbsDiffTY1,AbsDiffTY2,AbsDiffTZ1,AbsDiffTZ2,AvgResultantXYZ,AvgResultantTXYZ
4,0.16202,-0.92266,-0.30413,4,2.9,3.2,4.15,4,3.5,0.085734,0.090258,0.14568,3.1456,1.4473,2.0926,2.3005,2.1521,2.929,0.068399,0.073213,0.10872,2.4,1.21,1.48,2.035,1.8,2.2,8.6015,111.36
4,0.049957,-0.96679,-0.12446,4.9,2.8,3.4,2.8,5,5.3,0.088545,0.082467,0.21965,2.954,1.8806,2.21,2.285,3.1456,3.4198,0.066887,0.061231,0.17127,1.92,1.76,1.8,1.98,2.4,2.96,15.733,197.25
4,0.071776,-0.96491,-0.21515,3.1,5.3,1.6,3.4,4.8,4.7,0.09899,0.090853,0.12184,2.7319,4.7139,0.68056,2.8727,4.4909,3.4198,0.067861,0.059691,0.1014,1.96,3.75,0.6,2.32,3.32,3.04,24.147,296.48
4,-0.12629,-0.84056,-0.47641,9.7,6.1,5.8,2.85,4.1,3.9,0.17299,0.15259,0.077577,4.4968,4.8547,4.2252,2.2542,3.0933,2.4688,0.14074,0.10577,0.065639,3.36,3.73,3.76,1.72,2.34,2.12,33.702,419.22
4,0.21476,-0.94959,0.021866,4.8,7.15,4.7,4.2,7.4,8.45,0.24354,0.12534,0.46595,4.4909,4.2708,2.7164,2.0926,4.2103,4.2978,0.19066,0.086266,0.40095,3.76,3.42,2.24,1.52,3.8,3.375,44.301,562.25
4,0.22622,-0.86817,-0.020312,5.1,4.05,3.1,2.35,5,4.6,0.12608,0.1039,0.13872,3.4777,2.6253,1.5526,0.87509,2,5.2154,0.10508,0.083977,0.096308,2.72,2.155,1.32,0.66,1.8,3.76,55.876,724.28
4,0.083855,-1.0031,-0.087932,3.4,5.4,3.1,9.15,4.4,3.9,0.10363,0.17064,0.073495,2.7606,3.5303,1.7442,5.3536,2.7985,1.944,0.092203,0.14472,0.062598,2.08,3.22,1.34,4.68,2.08,1.31,68.27,897.1
4,0.02309,-0.98787,-0.1506,3.1,3.25,4.4,3.25,3.1,2.15,0.10101,0.089409,0.038671,1.4832,2.1734,3.7332,2.3592,2.3598,1.04,0.085929,0.068684,0.029463,1.14,1.8,3.28,2.025,1.94,0.74,81.464,1078.8
4,0.17865,-0.96245,-0.073596,4.3,2.1,3.7,3.95,3.8,2,0.059263,0.092412,0.065886,2.9753,1.1192,2.6774,3.2032,2.2384,0.91766,0.041441,0.077538,0.053246,2.36,0.92,2.24,2.845,1.6,0.8,95.398,1265.1
4,0.23668,-0.97051,-0.097996,3.9,2.85,5.5,4.25,3.5,2.6,0.074018,0.10995,0.067729,3.1937,1.7252,4.8828,1.2927,2.8746,1.7889,0.065707,0.0852,0.05663,2.3,1.48,3.9,0.775,1.9,1.36,110.04,1458.7
4,0.093237,-0.98087,-0.18735,4.8,3.55,6.1,4.65,6,2.4,0.091524,0.12925,0.071801,4.4674,1.3945,5.3004,2.2308,4.4721,1.5355,0.07537,0.10216,0.044736,3.32,1.095,4.7,1.585,3.4,1.28,125.36,1660.1
4,0.0049919,-0.95049,-0.15604,3,4.05,2,2.9,4.5,6.1,0.15784,0.072,0.20292,1.8918,2.2821,0.79472,0.91191,3.0865,2.4257,0.13654,0.058478,0.17976,1,2.065,0.4,0.81,2.7,1.92,8.5532,91.621
4,-0.041565,-0.97529,0.032907,1.8,3.5,1.5,2.05,2.6,6.7,0.1014,0.035564,0.13807,1.1965,1.5728,0.51299,0.68633,1.667,3.0279,0.090819,0.026729,0.11928,0.96,1.35,0.5,0.475,1.4,2.64,15.626,164.64
4,0.073132,-0.98866,0.11436,2,2.2,1.5,2.05,3.3,6.1,0.060024,0.042268,0.17957,1.3765,0.41039,0.68825,0.99868,1.5927,3.5229,0.046383,0.031436,0.14084,1,0.32,0.6,0.86,1.16,3.11,24.015,247.1
4,0.13867,-0.89756,-0.40549,2,2.15,1.8,2.25,3,6.8,0.04043,0.079323,0.089352,1.1239,1.3089,1.0052,1.2927,2.5131,3.3966,0.031129,0.05832,0.070137,0.6,1.025,0.8,1.1,2.2,2.32,33.515,342.51
4,-0.055783,-0.80522,-0.51938,4.8,4.8,2.3,4.3,4.2,7.35,0.14601,0.14104,0.099797,4.0988,3.0366,1.1286,3.7711,2.7453,4.7714,0.12377,0.11509,0.076105,3.52,2.62,0.96,3.16,2.44,4.12,44.028,449.63
4,-0.00044405,-0.8892,-0.39404,3.1,5.1,2.8,6.35,3.8,7.15,0.13698,0.13192,0.19661,2.6137,2.511,2.2384,4.3319,2.3306,5.9318,0.11338,0.093884,0.15377,1.74,2.11,1.92,3.88,1.76,5.565,55.449,576.19
4,0.41577,-0.859,0.27511,5,6.3,3,4.4,5,7.95,0.11104,0.1869,0.27316,4.4956,2.5772,2.8654,3.5895,3.0088,4.5708,0.087839,0.1157,0.24108,3.6,2.09,2.2,3.12,2.6,4.035,67.83,722.88
4,0.14333,-0.94988,0.02162,4.1,7.8,5.6,3.7,6.4,6.1,0.153,0.19946,0.088802,2.8451,5.0845,4.3335,2.0287,4.5929,3.5821,0.13553,0.14493,0.069009,2.32,4.28,3.32,1.59,3.88,2.65,80.968,883.85
4,0.17276,-1.0011,-0.11999,5,7.55,5.5,8.1,5.1,5,0.14934,0.21877,0.08768,4.634,4.6507,3.1539,3.81,4.734,4.963,0.12487,0.17695,0.057752,3.6,4.395,2.6,3.12,3.54,4.4,94.913,1067.1
4,0.17468,-0.96948,-0.066908,2.8,5.1,1.8,3.5,2.5,2.8,0.14911,0.081788,0.0544,3.5777,1.7741,0.89443,1.7622,1.6702,1.4364,0.13129,0.060655,0.04264,2.12,1.52,0.8,1.65,1.4,1.22,109.57,1259.1
4,0.27455,-0.95902,-0.086192,1.8,1.75,2,2.95,1.8,3.75,0.040359,0.074848,0.11261,0.76777,0.7864,1.026,1.7614,1.0052,2.6532,0.033708,0.061938,0.099371,0.64,0.675,0.8,1.56,0.8,2.225,124.91,1454.4
4,0.13103,-0.97362,-0.19896,3.1,4.7,4.2,7.85,3.8,5.4,0.11042,0.18695,0.06229,3.0245,1.9762,4.021,2.4554,3.5184,2.8727,0.085851,0.14241,0.046742,2.34,1.56,3.08,1.735,2.76,2.34,140.89,1656.1
4,0.066999,-0.92495,-0.33606,4.2,1.6,2.7,3.35,2.9,2.35,0.074864,0.079288,0.099835,2.5047,0.82078,1.8382,2.9784,2.8819,1.9808,0.061658,0.055868,0.061077,2.24,0.72,1.36,1.995,1.68,1.755,8.6586,116.35
4,0.20879,-0.92041,-0.26471,4.5,2.45,3.1,1.85,3.1,2.1,0.11251,0.056315,0.13738,2.6458,1.3563,2.7701,0.98809,2.174,1.2937,0.091082,0.045964,0.1192,2,1.02,2.12,0.935,1.36,1.21,15.809,204.79
4,0.057851,-0.97796,0.19786,3.5,3.1,2.1,1.65,2,2.95,0.078037,0.038157,0.089068,1.7321,2.1497,0.85224,0.58714,1.214,2.1637,0.065847,0.031147,0.075788,1.5,1.65,0.56,0.52,1,1.56,24.241,300.17
4,0.13748,-0.86989,-0.40926,2.8,3.5,4.8,4.55,3.5,3.95,0.063191,0.15695,0.13992,1.5079,0.60698,2.7067,3.12,2.0647,3.1867,0.0489,0.13061,0.10983,1.2,0.55,2.2,2.36,1.7,2.74,33.789,404.7
4,0.12273,-0.98893,-0.070087,3.6,5.1,2.9,1.95,2.5,3,0.14413,0.049498,0.12003,1.9574,4.303,1.619,1.6051,1.3179,1.8918,0.11455,0.034193,0.092255,1.72,3.45,1.3,1.235,0.9,1.8,44.347,517.87
4,0.010197,-0.79481,-0.53241,7.3,8.55,5,4.45,3.8,4.6,0.27074,0.1434,0.11765,4.0795,4.9362,4.1802,3.4255,1.9894,3.2184,0.19674,0.10368,0.1011,2.9,4.195,3.6,2.84,1.6,2.88,55.839,648.46
