Class,AvgX,AvgY,AvgZ,AvgTX1, AvgTX2,AvgTY1,AvgTY2,AvgTZ1,AvgTZ2,StdX,StdY,StdZ,StdTX1,StdTX2,StdTY1,StdTY2,StdTZ1,StdTZ2,AbsDiffX,AbsDiffY,AbsDiffZ,AbsDiffTX1,AbsDiffTX2,AbsDiffTY1,AbsDiffTY2,AbsDiffTZ1,AbsDiffTZ2,AvgResultantXYZ,AvgResultantTXYZ
3,0.85303,-0.15649,1.2111,16,12,16,16,12,16,0.36604,0.37244,0.36169,2.9786,3.229,3.7471,4.4509,3.3182,4.0394,0.28539,0.31072,0.24082,1.7376,2.496,2.96,3.712,2.7968,2.6304,15.359,7698.1
3,1.1077,-0.17351,0.77039,7,16,12,16,16,8,0.26858,0.2542,0.35052,1.8357,3.9225,3.1429,4.624,3.3525,1.9395,0.19697,0.17038,0.29035,1.4496,2.1504,2.496,3.936,2.512,1.568,30.397,29249
3,0.43973,-0.60033,-0.017532,9,8,9,4,10,5,0.29365,0.12968,0.12814,1.664,2.1759,2.6802,1.1542,2.3781,1.3486,0.23923,0.094,0.086979,0.9344,1.6,2.208,0.9856,1.9072,1.1264,46.9,51473
3,0.7332,-0.5204,0.47569,15,16,16,16,16,12,0.30421,0.18476,0.28959,3.91,3.8954,4.7939,4.2235,3.7046,3.0383,0.25838,0.14602,0.22773,3.1328,3.1744,4.016,3.3536,2.9376,2.0736,12.994,13895
3,0.71339,-0.75227,0.37979,12,14,11,6,9,8,0.30215,0.067739,0.23548,2.5555,3.439,2.0855,1.7257,2.2678,2.0468,0.25882,0.050187,0.20156,1.92,2.592,1.3728,1.4016,1.792,1.472,23.672,35777
3,0.37793,-0.69666,0.080719,16,15,9,11,15,9,0.16554,0.11569,0.19501,4.5882,5.3778,2.7177,2.9966,3.959,2.2771,0.13454,0.088723,0.15447,3.6992,4.928,2.2752,2.432,3.312,1.8112,36.011,60695
3,0.31203,-0.83966,-0.019974,15,11,11,7,16,8,0.13388,0.060885,0.10515,3.4286,2.8215,2.5948,2.1189,3.4061,2.1289,0.11046,0.050048,0.068624,2.4,2.3488,1.7248,1.92,2.3456,1.696,49.917,89593
3,0.99654,-0.31332,0.77371,12,16,11,16,16,16,0.36184,0.25198,0.42722,3.2985,3.4537,2.4691,4.4175,3.8367,5.2839,0.28177,0.20796,0.32931,2.5888,2.3296,1.952,3.504,2.9632,4.6016,14.351,13513
3,0.75119,-0.59937,0.64453,16,8,8,5,16,6,0.31327,0.11475,0.31858,3.9869,2.0899,2.2315,1.2027,3.1672,1.7066,0.25478,0.089038,0.24213,2.896,1.7288,1.856,0.9728,1.9904,1.5328,26.046,33915
3,0.63588,-0.46065,0.2171,9,7,9,12,10,16,0.20311,0.18239,0.26358,2.2871,2.0244,2.6942,3.3369,2.8122,4.1552,0.17262,0.13602,0.22131,1.8368,1.74,2.2624,2.7016,2.3392,3.2,39.446,56799
