Class,AvgX,AvgY,AvgZ,AvgTX1, AvgTX2,AvgTY1,AvgTY2,AvgTZ1,AvgTZ2,StdX,StdY,StdZ,StdTX1,StdTX2,StdTY1,StdTY2,StdTZ1,StdTZ2,AbsDiffX,AbsDiffY,AbsDiffZ,AbsDiffTX1,AbsDiffTX2,AbsDiffTY1,AbsDiffTY2,AbsDiffTZ1,AbsDiffTZ2,AvgResultantXYZ,AvgResultantTXYZ
1,0.091642,-0.97882,-0.18221,3.9,4.2667,3.4,4.8,4.4333,3.8667,0.095008,0.18491,0.091104,2.3772,2.9566,3.131,3.1505,3.8505,1.5123,0.078779,0.15213,0.06489,1.9,2.3556,2.1867,2.7467,3.2444,1.2089,15.078,172.39
1,0.081362,-0.96801,-0.18428,2.1667,3.8667,3.5667,4.0667,3.7,3.2667,0.072392,0.16268,0.080099,1.2236,1.7608,1.9776,2.4555,2.2421,2.537,0.061232,0.1241,0.059516,1.0667,1.36,1.4711,1.8311,1.64,2.0533,27.575,316.73
1,0.10319,-0.97514,-0.17752,2.7,5.0667,3.2667,5.2,4.2667,4.2667,0.085402,0.16793,0.084948,1.9684,3.1562,2.0982,4.0539,3.1669,3.2826,0.069441,0.13449,0.062392,1.7067,2.6044,1.4222,3.3333,2.4889,2.8889,42.355,487.2
1,0.092169,-0.98885,-0.16263,2.8,4.1333,3.6333,3.8667,3.9667,3.4667,0.087261,0.18281,0.087851,1.9554,3.2701,3.2047,2.6003,3.2572,1.9438,0.073724,0.14058,0.065426,1.4267,2.96,2.2689,2.1422,2.8244,1.4933,59.104,679.39
1,0.062279,-0.97408,-0.1855,2.8,5.4,2.6667,5.0667,3.7,4.4,0.084539,0.16949,0.089886,2.3636,2.5723,1.6536,3.5217,2.6953,3.4504,0.073698,0.1305,0.06621,1.7867,2.1067,1.2667,2.8889,1.9733,2.9333,77.63,893.38
1,0.087179,-0.96925,-0.16955,2.7,4.1333,3.0667,4.9333,3.5667,4,0.078342,0.1724,0.087937,1.9336,2.9885,2.5236,2.8869,3.0773,2.2699,0.06491,0.13254,0.064517,1.3867,2.3911,1.8267,2.3467,2.3178,1.6,97.763,1126
1,0.064101,-0.98434,-0.15195,3.4667,4.3333,3.1667,5.1333,3.8667,4.5333,0.087024,0.1794,0.097714,2.1899,2.7963,1.8971,3.2073,3.0998,3.5294,0.070154,0.14979,0.074277,1.6889,2.4,1.5889,2.4089,2.3911,2.7111,119.39,1374.7
1,0.081609,-0.97945,-0.12906,3.3667,3.4,3.0667,4.7333,3.7333,3.7333,0.10146,0.17035,0.11427,2.2622,2.0765,3.2929,2.4277,2.8634,1.8944,0.084798,0.12686,0.085884,1.6222,1.8133,2.1733,2.0178,2.1644,1.3511,142.41,1639.7
1,0.11682,-0.98716,-0.16718,3.3,4.8667,3.6667,5,3.5333,4.4667,0.089739,0.17567,0.099018,3.5238,3.0558,2.7226,3.862,2.8372,3.8066,0.072962,0.13547,0.074414,2.2867,2.6578,2.1556,2.9333,2.3067,3.0844,166.74,1919.5
1,0.11595,-0.96624,-0.15189,2.4333,5.2667,2.9667,3.7333,3.3,4,0.086824,0.17001,0.081847,1.8537,3.1346,1.9569,3.0691,2.3743,2.5245,0.072449,0.12926,0.061867,1.5111,2.5867,1.4333,2.6133,2.0067,1.8667,192.32,2215.6
