timestamp,x (in G's),y (in G's),z (in G's)
1449353707.804850,0.140167,-0.903992,-0.307144
1449353707.854084,0.147171,-0.930969,-0.300934
1449353707.903322,0.136826,-0.997330,-0.280792
1449353707.952561,0.141785,-0.930954,-0.296799
1449353708.001797,0.157745,-0.881012,-0.264954
1449353708.051030,0.135132,-0.952057,-0.250717
1449353708.100267,0.023712,-1.048950,-0.243500
1449353708.149500,0.151474,-0.893005,-0.214554
1449353708.198731,0.096039,-0.943451,-0.274551
1449353708.247961,0.143387,-0.955826,-0.222961
1449353708.297192,0.061646,-0.958221,-0.264755
1449353708.346422,-0.017746,-1.020737,-0.361572
1449353708.395659,0.052017,-0.950241,-0.237320
1449353708.444898,0.094894,-0.917740,-0.196869
1449353708.494136,0.064301,-1.044449,-0.225601
1449353708.543362,0.129028,-0.949524,-0.244522
1449353708.592606,0.084259,-0.929733,-0.208389
1449353708.641841,0.117554,-0.930344,-0.232880
1449353708.691076,0.040329,-1.035858,-0.287033
1449353708.740309,0.112106,-0.886826,-0.297714
1449353708.789546,0.045990,-0.920990,-0.232834
1449353708.838783,0.055878,-1.009216,-0.242279
1449353708.888015,0.056595,-0.986389,-0.294922
1449353708.937251,0.094315,-0.930878,-0.278885
1449353708.986485,0.035339,-0.955719,-0.271240
1449353709.035719,0.076859,-0.963028,-0.293930
1449353709.084946,0.053497,-0.981415,-0.260574
1449353709.134180,0.075241,-0.933777,-0.241486
1449353709.183416,0.055832,-0.943237,-0.242188
1449353709.232649,0.047668,-0.984436,-0.257141
1449353709.281881,0.055847,-0.952225,-0.232590
1449353709.331109,0.049652,-0.915176,-0.200897
1449353709.380337,0.085159,-1.006439,-0.243591
1449353709.429569,0.049362,-0.971039,-0.262283
1449353709.478805,0.097519,-0.881760,-0.275940
1449353709.528038,0.035309,-0.950592,-0.250992
1449353709.577270,0.051315,-0.999176,-0.212814
1449353709.626497,0.096069,-0.902969,-0.253586
1449353709.675731,0.080048,-0.915985,-0.239822
1449353709.724963,0.045700,-1.012955,-0.201584
1449353709.774196,0.116226,-0.975159,-0.185837
1449353709.823425,0.077438,-0.970703,-0.198166
1449353709.872661,0.110458,-0.959412,-0.183090
1449353709.921891,0.073395,-0.942978,-0.214050
1449353709.971124,0.075424,-1.003433,-0.224457
1449353710.020356,0.102112,-0.928299,-0.192932
1449353710.069587,0.077911,-0.972122,-0.198593
1449353710.118819,0.098495,-0.935791,-0.197495
1449353710.168048,0.099609,-0.987930,-0.228027
1449353710.217282,0.097244,-0.989273,-0.179825
1449353710.266509,0.129852,-0.919571,-0.236282
1449353710.315743,0.088135,-0.978073,-0.225616
1449353710.364975,0.094772,-0.958420,-0.197876
1449353710.414206,0.055359,-0.971344,-0.178055
1449353710.463439,0.133102,-0.917572,-0.191589
1449353710.512669,0.122986,-0.974655,-0.203415
1449353710.561902,0.072891,-1.048996,-0.216980
1449353710.611131,0.099609,-0.930374,-0.224075
1449353710.660261,0.075500,-0.909195,-0.181915
1449353710.709495,0.082687,-1.023071,-0.189301
1449353710.758727,0.120255,-0.980835,-0.255630
1449353710.807958,0.110764,-0.949814,-0.240952
1449353710.857189,0.107681,-0.947784,-0.177338
