timestamp,x (in G's),y (in G's),z (in G's)
1449382234,0.004166,-0.96759,-0.157761
1449382234,0.001114,-1.01474,-0.154892
1449382234,-0.018661,-1.121323,-0.190994
1449382234,-0.000931,-1.077164,-0.163116
1449382234,0.010071,-0.89975,-0.089905
1449382234,0.004303,-0.925644,-0.060745
1449382234,0.001999,-0.96286,-0.035172
1449382234,-0.016586,-1.025345,0.019089
1449382234,-0.002762,-1.060745,0.076706
1449382234,0.093124,-1.063736,0.090088
1449382235,0.105042,-1.104965,0.087921
1449382235,0.158157,-1.043365,0.143112
1449382235,0.21524,-0.987122,0.210541
1449382235,0.255936,-1.015762,0.227356
1449382235,0.289764,-0.903458,0.255066
1449382235,0.308685,-0.851349,0.304779
1449382235,0.343979,-0.907455,0.273865
1449382235,0.388931,-0.959686,0.311874
1449382235,0.377426,-0.936279,0.264999
1449382235,0.403107,-0.942535,0.250397
1449382235,0.393539,-0.896149,0.221298
1449382235,0.377991,-0.90593,0.224045
1449382235,0.414703,-0.937637,0.18898
1449382235,0.348831,-0.9431,0.239914
1449382235,0.317398,-1.006058,0.175446
1449382235,0.208572,-1.079178,0.171692
1449382235,0.124451,-1.143265,0.064026
1449382235,0.078094,-0.979843,0.011536
1449382235,-0.015656,-0.931244,0.012909
1449382235,-0.079651,-0.950592,-0.042847
1449382236,-0.052612,-0.987015,-0.110992
1449382236,-0.015076,-0.965744,-0.175644
1449382236,-0.024445,-0.955536,-0.191116
1449382236,-0.024277,-0.961761,-0.232376
1449382236,-0.052765,-0.996582,-0.213882
1449382236,-0.097031,-0.975372,-0.187393
1449382236,-0.02475,-0.934906,-0.217224
1449382236,-0.011093,-0.941025,-0.212463
1449382236,-0.027069,-0.975296,-0.219879
1449382236,-0.02182,-0.954498,-0.221024
1449382236,-0.064163,-0.95697,-0.157059
1449382236,-0.078751,-0.985153,-0.127258
1449382236,-0.054153,-1.018219,-0.119354
1449382236,-0.079086,-1.094238,-0.048065
1449382236,-0.019531,-1.241333,-0.04982
1449382236,-0.117096,-1.189529,0.091293
1449382236,-0.030075,-1.189819,0.221985
1449382236,0.015503,-1.089569,0.339188
1449382236,0.07016,-0.867035,0.382355
1449382236,0.049942,-0.951523,0.308701
1449382236,0.008698,-1.036453,0.253967
1449382237,0.00856,-1.011337,0.231918
1449382237,0.062729,-1.080444,0.111404
1449382237,0.051208,-1.133606,0.107483
1449382237,0.055435,-1.007751,0.100815
1449382237,0.10434,-0.946152,0.119202
1449382237,0.123978,-1.008713,0.174042
1449382237,0.126923,-0.916245,0.230347
1449382237,0.258133,-0.78537,0.132431
1449382237,0.300125,-0.580399,0.109283
1449382237,0.306992,-0.488693,0.091736
1449382237,0.351273,-0.531113,0.097626
1449382237,0.379684,-0.585541,0.041595
1449382237,0.597244,-0.826385,0.157074
