timestamp,x (in G's),y (in G's),z (in G's)
1449355189,0.096283,-0.844131,-0.397263
1449355189,0.110443,-0.87059,-0.492722
1449355189,0.120789,-0.845932,-0.470261
1449355189,0.104568,-0.876953,-0.465149
1449355189,0.104736,-0.871307,-0.467712
1449355189,0.079605,-0.908691,-0.413773
1449355189,0.086151,-0.941803,-0.377121
1449355189,0.116638,-0.92482,-0.370697
1449355189,0.124466,-0.951828,-0.365936
1449355189,0.170593,-0.947433,-0.344406
1449355189,0.15947,-0.916214,-0.330841
1449355190,0.172028,-0.919128,-0.310089
1449355190,0.1884,-0.937225,-0.362625
1449355190,0.268082,-0.915359,-0.310379
1449355190,0.300797,-0.853531,-0.338242
1449355190,0.433594,-0.761749,-0.392563
1449355190,0.404068,-0.794296,-0.404297
1449355190,0.394272,-0.798447,-0.409332
1449355190,0.400436,-0.840439,-0.448227
1449355190,0.368668,-0.858276,-0.367981
1449355190,0.336914,-0.866669,-0.346741
1449355190,0.392319,-0.835281,-0.339951
1449355190,0.276001,-0.898514,-0.308044
1449355190,0.252518,-0.90596,-0.342285
1449355190,0.181595,-0.958954,-0.214005
1449355190,0.137573,-0.992966,-0.247528
1449355190,0.145523,-0.933899,-0.184128
1449355190,0.042984,-0.996292,-0.115234
1449355190,0.111603,-1.055344,-0.128937
1449355190,0.073196,-0.936707,-0.067917
1449355190,0.061829,-0.974197,0.014725
1449355191,-0.055267,-0.967957,0.072647
1449355191,0.051468,-1.035538,0.030579
1449355191,0.121216,-1.028748,0.114975
1449355191,0.158234,-0.92305,0.218399
1449355191,0.092056,-0.979996,0.182144
1449355191,0.111069,-0.941483,0.270142
1449355191,0.165298,-0.909393,0.171326
1449355191,0.18808,-0.952011,0.223984
1449355191,0.136459,-1.052979,0.148911
1449355191,0.14769,-1.065216,0.160385
1449355191,0.148438,-1.046844,0.108871
1449355191,0.174942,-0.99411,-0.01767
1449355191,0.134811,-0.974121,-0.054001
1449355191,0.071136,-0.960571,-0.215057
1449355191,0.097107,-0.986725,-0.253616
1449355191,0.128342,-0.961273,-0.327347
1449355191,0.018539,-0.915405,-0.371918
1449355191,0.035263,-0.865845,-0.432541
1449355191,-0.039337,-0.863174,-0.455887
1449355191,-0.043686,-0.864914,-0.474304
1449355192,0.098114,-0.987183,-0.470779
1449355192,0.060303,-0.832718,-0.354858
1449355192,0.137619,-0.68338,-0.595139
1449355192,-0.004105,-0.740814,-0.534286
1449355192,0.029221,-0.817886,-0.593994
1449355192,-0.01358,-0.816666,-0.411316
1449355192,-0.010925,-0.895615,-0.404327
1449355192,-0.04837,-0.990005,-0.350876
1449355192,-0.329529,-0.988464,-0.204285
1449355192,-0.117737,-1.075592,-0.170486
1449355192,-0.139709,-0.988281,-0.084106
1449355192,-0.040039,-0.999893,-0.090622
1449355192,0.005173,-1.004639,0.034698
1449355192,0.08432,-0.973785,-0.00293
1449355192,0.129257,-0.959564,0.120667
1449355192,0.106491,-1.054047,0.060852
1449355192,0.121155,-1.00058,0.164978
1449355192,0.113159,-0.952728,0.039993
1449355192,0.166031,-1.003815,0.081802
1449355192,0.154144,-1.007401,0.055359
1449355192,0.054535,-1.077042,0.189987
1449355193,0.008682,-1.098343,0.367828
1449355193,-0.032425,-0.826797,0.267044
1449355193,0.036484,-0.857468,0.162689
1449355193,0.091339,-0.90416,0.071381
1449355193,0.078613,-1.053619,0.169464
1449355193,0.073059,-1.27356,0.34906
1449355193,0.057617,-1.014923,0.294327
1449355193,0.047974,-0.840683,0.231094
1449355193,0.08371,-0.938004,0.122131
1449355193,0.033508,-0.973907,0.148804
1449355193,0.07428,-1.038086,0.0457
1449355193,-0.028412,-1.060654,-0.060959
1449355193,0.037262,-1.057602,-0.150681
1449355193,0.082748,-0.973068,-0.209976
1449355193,0.073563,-0.923492,-0.19809
1449355193,0.016922,-0.816818,-0.320694
1449355193,0.087875,-0.948776,-0.40303
1449355193,0.172073,-0.964249,-0.504349
1449355193,0.16217,-0.711136,-0.626404
1449355193,0.239517,-0.626114,-0.526581
1449355194,0.186691,-0.793869,-0.367722
1449355194,0.214294,-0.790527,-0.392242
1449355194,0.175339,-0.935638,-0.450775
1449355194,0.197708,-1.048386,-0.286392
1449355194,0.128357,-0.873215,-0.42244
1449355194,0.093689,-0.864563,-0.363525
1449355194,0.148178,-1.055771,-0.350479
1449355194,0.096817,-0.896698,-0.243484
1449355194,0.156509,-0.931,-0.364395
1449355194,0.074234,-0.982346,-0.251221
1449355194,0.044342,-0.97551,-0.236069
1449355194,0.037048,-0.901428,-0.232956
1449355194,0.078201,-0.953827,-0.287384
1449355194,0.125626,-0.972473,-0.225082
1449355194,0.089447,-0.913193,-0.375916
1449355194,0.033813,-0.971985,-0.311447
1449355194,-0.047546,-1.084122,-0.103897
1449355194,0.03569,-1.062531,0.017273
1449355194,0.116074,-0.977554,0.081146
1449355194,0.073135,-0.933075,0.12468
1449355195,0.051239,-1.044434,0.056641
1449355195,-0.020676,-1.074905,-0.034958
1449355195,-0.01265,-1.031464,-0.115677
1449355195,-0.001724,-1.063583,-0.142334
1449355195,0.004639,-0.987457,-0.218079
1449355195,0.038452,-0.952438,-0.374313
1449355195,0.125046,-0.92186,-0.365311
1449355195,0.06102,-0.922256,-0.365265
1449355195,0.168655,-0.907333,-0.399094
1449355195,0.104752,-0.822693,-0.365463
1449355195,0.135361,-0.859131,-0.438538
1449355195,0.154861,-0.912766,-0.532272
1449355195,0.123581,-0.865509,-0.643021
1449355195,0.187424,-0.979904,-0.578659
1449355195,-0.133972,-0.932907,-0.26239
1449355195,-0.103638,-0.877045,-0.48378
1449355195,-0.079941,-0.873535,-0.601471
1449355195,-0.125488,-0.871078,-0.601349
1449355195,-0.069962,-0.769485,-0.668701
1449355195,-0.303452,-0.458405,-0.648834
1449355195,-0.423996,-0.396774,-0.537994
1449355196,-0.363464,-0.415878,-0.296448
1449355196,-0.232712,-0.554886,-0.254761
1449355196,-0.102661,-0.673843,-0.394714
1449355196,0.020264,-0.845261,-0.69957
1449355196,-0.153152,-1.534058,-0.744446
1449355196,-0.094009,-0.911514,-0.504669
1449355196,-0.27002,-0.925552,-0.340836
1449355196,-0.105591,-0.913315,-0.468704
1449355196,-0.078354,-0.930237,-0.379196
1449355196,0.040588,-0.752106,-0.465942
1449355196,-0.038116,-0.825378,-0.479858
1449355196,-0.04715,-0.95282,-0.353271
1449355196,-0.226624,-0.886719,-0.55011
1449355196,-0.057648,-0.965164,-0.473114
1449355196,0.043198,-1.031189,-0.483444
1449355196,0.035049,-0.980072,-0.410355
1449355196,0.094162,-0.899063,-0.328857
1449355196,0.155426,-0.852859,-0.291595
1449355196,0.173874,-1.014694,-0.283096
1449355196,0.16597,-0.834442,-0.172363
1449355197,0.134064,-1.002472,-0.159302
1449355197,0.136902,-0.850906,-0.069382
1449355197,0.17363,-0.886398,-0.048492
1449355197,0.221817,-0.8983,-0.034058
1449355197,0.264572,-0.942337,0.04071
1449355197,0.272705,-0.837097,0.011551
1449355197,0.378113,-0.86763,0.109375
1449355197,0.462234,-1.094757,0.303345
1449355197,0.608322,-1.202026,0.394089
1449355197,0.604919,-1.036926,0.68956
1449355197,0.709366,-0.953384,0.908142
1449355197,0.645935,-0.734497,0.760864
1449355197,0.651779,-0.866196,0.70517
1449355197,0.647354,-0.917175,0.583069
1449355197,0.507294,-0.858459,0.483917
1449355197,0.494598,-0.854645,0.510254
1449355197,0.522217,-0.904465,0.262619
1449355197,0.544769,-0.763184,0.205109
1449355197,0.459991,-0.858368,-0.10788
1449355197,0.478592,-0.897308,-0.114075
1449355198,0.382492,-0.650391,-0.145508
1449355198,0.329681,-0.432907,-0.106552
1449355198,0.266968,-0.403656,-0.129333
1449355198,0.328735,-0.668427,-0.119171
1449355198,0.329178,-0.624969,0.130203
1449355198,0.23114,-0.625229,-0.079681
1449355198,0.158203,-0.533112,-0.037109
1449355198,0.089584,-0.241882,0.051331
1449355198,0.074936,-0.505707,0.138794
1449355198,0.213882,-0.807419,-0.265762
1449355198,0.421707,-2.483734,-0.714813
1449355198,0.599731,-1.944061,0.121094
1449355198,0.235367,-1.525986,-0.329468
1449355198,0.072922,-0.879898,0.011093
1449355198,-0.094772,-0.62236,0.125977
1449355198,0.019485,-0.942474,0.027451
1449355198,0.075699,-0.823303,0.121033
1449355198,0.169113,-0.530014,0.014526
1449355198,0.108109,-0.844528,-0.041672
1449355198,0.248032,-1.118225,-0.103363
1449355198,0.082184,-1.281921,-0.177505
1449355199,0.186142,-1.474777,-0.139038
1449355199,0.046646,-1.167755,-0.083954
1449355199,0.081558,-0.663452,-0.061523
1449355199,-0.037659,-0.39035,0.099274
1449355199,0.033188,-0.578064,0.122864
1449355199,0.097626,-0.806976,-0.064606
1449355199,0.496948,-1.386414,-0.170212
1449355199,0.577759,-1.384186,-0.223877
1449355199,0.597488,-1.118652,-0.135986
1449355199,0.424957,-1.191986,-0.171677
1449355199,0.415863,-0.867096,-0.169861
1449355199,0.331863,-0.573486,-0.050308
1449355199,0.091324,-0.682983,0.124268
1449355199,0.173767,-0.730362,-0.029099
1449355199,0.27562,-1.064682,-0.165024
1449355199,0.491547,-1.44017,-0.175964
1449355199,0.322418,-1.067276,-0.165817
1449355199,0.272064,-0.800873,-0.046387
1449355199,0.226898,-0.615417,0.037796
1449355199,0.254623,-0.679688,0.044693
1449355200,0.259445,-1.001694,-0.002014
1449355200,0.129898,-1.078018,-0.233978
1449355200,0.110046,-0.970139,-0.169601
1449355200,0.169785,-1.304245,-0.139359
1449355200,0.136353,-1.319733,-0.156372
1449355200,0.135239,-1.138123,-0.154861
1449355200,0.132324,-0.875656,-0.141754
1449355200,0.089096,-0.696594,-0.052277
1449355200,0.057526,-0.741867,-0.039505
1449355200,0.061157,-1.022202,-0.022583
1449355200,0.165009,-1.048279,-0.086899
1449355200,0.06604,-0.97464,-0.034302
1449355200,0.151031,-0.967804,-0.034012
1449355200,0.2901,-1.032883,-0.073044
1449355200,0.257309,-1.142349,-0.085495
1449355200,0.311188,-1.175522,-0.07782
1449355200,0.396057,-1.094788,-0.118286
1449355200,0.334854,-0.780197,-0.055481
1449355200,0.16452,-0.568542,0.002609
1449355200,0.196976,-0.688812,0.08165
1449355201,0.292953,-0.893738,-0.026871
1449355201,0.367401,-1.083755,0.014847
1449355201,0.309906,-1.118057,-0.085358
1449355201,0.300964,-1.126953,-0.063812
1449355201,0.380203,-1.037796,-0.014191
1449355201,0.300293,-0.84549,-0.024872
1449355201,0.259842,-0.654404,-0.008514
1449355201,0.276825,-0.581619,0.101974
1449355201,0.237473,-0.612274,0.221344
1449355201,0.483093,-1.205093,0.041733
1449355201,0.784317,-1.406525,0.293137
1449355201,0.576996,-1.186417,0.118317
1449355201,0.521072,-1.281082,0.1633
1449355201,0.444504,-0.899155,0.037369
1449355201,0.315689,-0.563583,0.065689
1449355201,0.195892,-0.477066,0.085663
1449355201,0.21228,-0.552109,0.081497
1449355201,0.340881,-0.839935,-0.008286
1449355201,0.587646,-1.168106,-0.186478
1449355201,0.50293,-1.177841,-0.174698
1449355201,0.528198,-1.368073,-0.166763
1449355202,0.47847,-1.15625,-0.139465
1449355202,0.402039,-0.805771,-0.117111
1449355202,0.337646,-0.622711,-0.076614
1449355202,0.26622,-0.539017,-0.050003
1449355202,0.302826,-0.698898,-0.041901
1449355202,0.335968,-0.798691,-0.145782
1449355202,0.272491,-1.061584,-0.143494
1449355202,0.233719,-1.013321,-0.35672
1449355202,0.20517,-0.880722,-0.308914
