timestamp,x (in G's),y (in G's),z (in G's)
1449356688,0.090775,-0.79364,-0.18428
1449356689,0.161453,-0.893677,-0.206314
1449356689,0.191483,-0.880249,-0.266129
1449356689,0.11702,-0.930099,-0.287323
1449356689,0.094635,-1.108582,-0.321228
1449356689,0.141541,-1.429962,-0.346344
1449356689,-0.060928,-1.250122,-0.31514
1449356689,0.170624,-0.895142,-0.204651
1449356689,-0.147934,-0.854645,-0.011246
1449356689,-0.274368,-0.77063,0.056107
1449356689,-0.003082,-1.063858,-0.235306
1449356689,0.020309,-0.833969,-0.192719
1449356689,-0.039307,-0.765289,-0.177292
1449356689,-0.003403,-0.914948,-0.228867
1449356689,-0.046463,-0.906799,-0.269455
1449356689,-0.025314,-0.882629,-0.243378
1449356689,-0.015244,-1.033447,-0.172623
1449356689,-0.025055,-1.178391,-0.251038
1449356689,0.027313,-1.520462,-0.237564
1449356689,0.170853,-0.994202,-0.156738
1449356689,0.187057,-0.95929,0.053741
1449356689,0.203568,-1.006531,-0.148819
1449356690,0.12352,-0.825989,-0.135071
1449356690,0.093689,-0.715973,-0.156296
1449356690,0.107285,-0.839493,-0.176361
1449356690,0.116638,-0.91983,-0.170395
1449356690,0.134155,-0.921738,-0.196121
1449356690,0.079407,-0.949188,-0.22551
1449356690,0.063889,-1.050079,-0.271378
1449356690,0.167053,-1.053772,-0.427383
1449356690,0.002518,-1.214508,-0.353256
1449356690,-0.009705,-1.376389,-0.318375
1449356690,-0.016418,-0.80574,-0.1427
1449356690,-0.136215,-0.887589,-0.131195
1449356690,-0.117844,-1.057281,-0.153687
1449356690,0.046417,-0.736694,-0.197052
1449356690,-0.0336,-0.782333,-0.179977
1449356690,-0.038513,-0.916763,-0.187225
1449356690,-0.063278,-0.946671,-0.219574
1449356690,-0.044891,-0.909042,-0.267563
1449356690,-0.017548,-0.896027,-0.246658
1449356690,-0.032898,-1.022079,-0.258591
1449356691,0.046341,-1.133331,-0.407822
1449356691,0.056366,-1.074966,-0.250519
1449356691,-0.080139,-1.224808,-0.227432
1449356691,0.115082,-1.092636,-0.122772
1449356691,0.22644,-0.923874,-0.050613
1449356691,0.091339,-1.012833,-0.151489
1449356691,0.074173,-0.813568,-0.143234
1449356691,0.060959,-0.791656,-0.142639
1449356691,0.132126,-0.841492,-0.176926
1449356691,0.167465,-0.842484,-0.20636
1449356691,0.1595,-0.88736,-0.280869
1449356691,0.068161,-1.004242,-0.240494
1449356691,0.057663,-1.068481,-0.261627
1449356691,0.146149,-1.085388,-0.392517
1449356691,0.007446,-1.109726,-0.276596
1449356691,0.040833,-1.392593,-0.236633
1449356691,-0.044434,-0.898987,-0.087326
1449356691,-0.093094,-0.888428,-0.131012
1449356691,-0.042389,-1.05072,-0.135391
1449356691,0.082657,-0.772842,-0.178238
1449356692,0.003235,-0.74823,-0.120117
1449356692,-0.040268,-0.907516,-0.180725
1449356692,-0.040649,-0.958176,-0.231171
1449356692,-0.005325,-0.886353,-0.205032
1449356692,-0.006256,-0.92131,-0.18689
1449356692,-0.027924,-1.082962,-0.159119
1449356692,0.135178,-1.291092,-0.262177
1449356692,0.01329,-1.452179,-0.187897
1449356692,0.146545,-0.913651,0.022049
1449356692,0.263657,-1.021851,-0.008392
1449356692,0.123245,-0.914062,-0.156448
1449356692,0.066803,-0.697006,-0.079575
1449356692,0.014862,-0.789612,-0.126358
1449356692,0.108475,-0.816284,-0.174255
1449356692,0.162292,-0.851974,-0.178055
1449356692,0.058563,-0.983002,-0.179169
1449356692,0.05571,-1.091675,-0.27327
1449356692,0.074158,-1.156128,-0.273972
1449356692,0.012863,-1.277023,-0.218719
1449356692,-0.073044,-1.40152,-0.231186
1449356692,-0.096161,-0.817535,-0.047913
1449356693,-0.234848,-0.966034,-0.149902
1449356693,-0.114578,-0.986862,-0.149979
1449356693,0.01622,-0.707733,-0.125778
1449356693,-0.102173,-0.750809,-0.06427
1449356693,-0.124146,-0.827209,-0.163208
1449356693,-0.158066,-0.905594,-0.222
1449356693,-0.125626,-0.9142,-0.235535
1449356693,-0.061005,-1.00853,-0.27594
1449356693,-0.064713,-1.043976,-0.217529
1449356693,0.023651,-1.184448,-0.3423
1449356693,-0.051559,-1.428055,-0.284592
1449356693,0.091843,-0.965607,-0.019379
1449356693,0.066498,-1.033585,-0.080322
1449356693,0.16507,-1.03334,-0.196106
1449356693,0.032166,-0.707138,-0.024124
1449356693,0.039108,-0.687454,-0.100998
1449356693,0.171799,-0.830322,-0.146408
1449356693,0.198578,-0.902023,-0.163788
1449356693,0.132004,-0.968338,-0.192657
1449356693,0.147415,-0.921997,-0.180283
1449356694,0.146759,-1.054749,-0.173721
1449356694,0.177063,-1.085648,-0.32962
1449356694,-0.052917,-1.433899,-0.107193
1449356694,-0.125153,-1.193008,-0.149063
1449356694,-0.129135,-0.973969,-0.079361
1449356694,-0.067444,-1.105896,-0.118179
1449356694,-0.010254,-0.724258,-0.1194
1449356694,-0.0271,-0.656219,-0.103348
1449356694,-0.023773,-0.772491,-0.160812
1449356694,-0.137924,-0.922287,-0.222565
1449356694,-0.126816,-0.976868,-0.288361
1449356694,-0.061798,-0.928299,-0.259476
1449356694,-0.092285,-0.96933,-0.229446
1449356694,-0.019806,-1.048828,-0.346405
1449356694,0.11734,-1.137894,-0.309616
1449356694,-0.091797,-1.251892,-0.203308
1449356694,0.107941,-1.13797,-0.120499
1449356694,0.168365,-1.028122,-0.098175
1449356694,0.119919,-1.010162,-0.123245
1449356694,0.027924,-0.750549,-0.177872
1449356695,-0.022858,-0.688232,-0.159103
1449356695,0.064774,-0.847092,-0.175858
1449356695,0.099472,-0.910477,-0.240509
1449356695,0.137939,-0.87326,-0.204346
1449356695,0.119781,-0.926376,-0.232697
1449356695,0.090591,-1.047531,-0.242767
1449356695,0.169098,-1.098145,-0.395035
1449356695,0.020462,-1.206635,-0.267288
1449356695,-0.008545,-1.543045,-0.298248
1449356695,-0.04985,-0.874283,-0.061356
1449356695,-0.082764,-0.921906,-0.144653
1449356695,-0.000137,-0.954071,-0.17688
1449356695,-0.0121,-0.703827,-0.157776
1449356695,-0.095917,-0.821426,-0.150345
1449356695,-0.039139,-0.878479,-0.189056
1449356695,-0.07106,-0.905365,-0.204422
1449356695,-0.05603,-0.898895,-0.219955
1449356695,-0.046463,-0.949142,-0.213348
1449356695,-0.06337,-1.041046,-0.232193
1449356695,0.103165,-1.179657,-0.379807
1449356695,-0.031921,-1.362366,-0.177841
1449356696,0.109497,-1.126892,-0.232956
1449356696,0.164932,-0.913879,-0.026169
1449356696,0.171692,-1.067368,-0.100067
1449356696,0.098785,-0.849045,-0.178131
1449356696,0.056046,-0.71051,-0.130859
1449356696,0.084641,-0.800079,-0.169052
1449356696,0.150055,-0.814987,-0.191391
1449356696,0.188171,-0.876602,-0.227737
1449356696,0.121597,-0.962769,-0.267838
1449356696,0.092911,-1.078629,-0.276657
1449356696,0.177551,-1.107224,-0.387985
1449356696,0.018433,-1.123169,-0.301605
1449356696,0.049194,-1.336288,-0.190903
1449356696,-0.14769,-0.988724,-0.035248
1449356696,-0.022049,-1.070267,-0.188614
1449356696,0.134995,-1.023941,-0.171539
1449356696,0.035965,-0.646378,-0.156464
1449356696,-0.071823,-0.72757,-0.173615
1449356696,-0.088623,-0.915527,-0.237488
1449356696,-0.073868,-0.9254,-0.26123
1449356697,-0.066467,-0.897247,-0.283707
1449356697,-0.06955,-0.901901,-0.287476
1449356697,-0.094727,-0.947983,-0.242889
1449356697,0.060242,-1.157272,-0.463821
1449356697,0.058823,-1.18808,-0.320099
1449356697,-0.081085,-1.295807,-0.284119
1449356697,0.173981,-0.92424,-0.107529
1449356697,0.141922,-1.020325,-0.091507
1449356697,0.121307,-1.052963,-0.158127
1449356697,0.061035,-0.79451,-0.174088
1449356697,0.017029,-0.726089,-0.174286
1449356697,0.135269,-0.828995,-0.207687
1449356697,0.143158,-0.889862,-0.218658
1449356697,0.136841,-0.860672,-0.239609
1449356697,0.090561,-0.939545,-0.264999
1449356697,0.067551,-1.057541,-0.256577
1449356697,0.162399,-1.10437,-0.390366
1449356697,0.000839,-1.263031,-0.276306
1449356697,-0.086121,-1.376938,-0.261978
1449356697,-0.052246,-0.811188,-0.013962
1449356698,-0.055054,-1.10437,-0.168991
1449356698,0.027969,-0.891281,-0.188843
1449356698,0.006805,-0.650284,-0.133438
1449356698,-0.056503,-0.775269,-0.14296
1449356698,-0.052872,-0.905319,-0.216293
1449356698,-0.036911,-0.895889,-0.260391
1449356698,-0.079727,-0.917099,-0.189697
1449356698,-0.043182,-0.995255,-0.230408
1449356698,0.011078,-1.106049,-0.307465
1449356698,0.102158,-1.35498,-0.2836
1449356698,0.017929,-1.351913,-0.203369
1449356698,0.224014,-0.878967,-0.034531
1449356698,0.171326,-1.093552,-0.082047
1449356698,0.158829,-0.85878,-0.180161
1449356698,0.028778,-0.648895,-0.133835
1449356698,0.043472,-0.719086,-0.163254
1449356698,0.121124,-0.840561,-0.194153
1449356698,0.163925,-0.910461,-0.225632
1449356698,0.156174,-0.9086,-0.236191
1449356698,0.080933,-1.083282,-0.273651
1449356698,0.129684,-1.063995,-0.311111
1449356699,0.057068,-1.281555,-0.319275
1449356699,-0.164047,-1.349976,-0.183868
1449356699,-0.068146,-0.826172,-0.058655
1449356699,-0.041214,-1.241806,-0.230255
1449356699,0.066193,-0.902649,-0.207275
1449356699,0.015762,-0.572098,-0.148834
1449356699,-0.088486,-0.697281,-0.16008
1449356699,-0.070084,-0.843628,-0.212067
1449356699,-0.042038,-0.939819,-0.294647
1449356699,-0.036087,-0.945175,-0.28862
1449356699,-0.047165,-0.96051,-0.225037
1449356699,0.030334,-1.078979,-0.417175
1449356699,0.139114,-1.327576,-0.280594
1449356699,0.018784,-1.376434,-0.23851
1449356699,0.226822,-0.826874,-0.064835
1449356699,0.190765,-1.144272,-0.105057
1449356699,0.10643,-0.866684,-0.205521
1449356699,0.035873,-0.620056,-0.139053
1449356699,0.063202,-0.711166,-0.178162
1449356699,0.118546,-0.828186,-0.216827
1449356700,0.191193,-0.908493,-0.292252
1449356700,0.117432,-0.914612,-0.204926
1449356700,0.073944,-1.1138,-0.279236
1449356700,0.153503,-1.125381,-0.44693
1449356700,0.024719,-1.257553,-0.303833
1449356700,-0.109573,-1.237198,-0.23497
1449356700,-0.041672,-0.805069,-0.054016
1449356700,-0.023224,-1.15712,-0.191422
1449356700,0.077774,-0.957092,-0.22084
1449356700,0.062729,-0.634811,-0.206161
1449356700,-0.045242,-0.75386,-0.190125
1449356700,0.001495,-0.843918,-0.245331
1449356700,-0.016388,-0.837463,-0.26683
1449356700,-0.007187,-0.889862,-0.284592
1449356700,-0.042709,-1.012283,-0.29361
1449356700,0.055038,-1.115311,-0.423386
1449356700,0.140549,-1.400299,-0.272675
1449356700,0.05452,-1.314499,-0.249573
1449356700,0.156143,-0.86467,-0.084244
1449356700,0.152328,-1.023575,-0.072708
1449356701,0.112,-0.824036,-0.168777
1449356701,0.052261,-0.70993,-0.108643
1449356701,0.090363,-0.823547,-0.178375
1449356701,0.10965,-0.870468,-0.194107
1449356701,0.129517,-0.880722,-0.256744
1449356701,0.094635,-0.868759,-0.210602
1449356701,0.054474,-1.05069,-0.278931
1449356701,0.125854,-1.10527,-0.35527
1449356701,0.06221,-1.175629,-0.348801
1449356701,-0.088104,-1.371933,-0.212875
1449356701,-0.107773,-0.921997,-0.005768
1449356701,0.008316,-1.199249,-0.250336
1449356701,0.111252,-0.97699,-0.161545
1449356701,0.07637,-0.687927,-0.212677
1449356701,0.00798,-0.711136,-0.163544
1449356701,0.010345,-0.804245,-0.221573
1449356701,0.014313,-0.827133,-0.233093
1449356701,0.011673,-0.873154,-0.260757
1449356701,0.046768,-1.041977,-0.27092
1449356701,0.028931,-1.092834,-0.343781
1449356701,0.18306,-1.334778,-0.299225
1449356702,0.014984,-1.325363,-0.189285
1449356702,0.197144,-0.858948,-0.058472
1449356702,0.194565,-1.129593,-0.117493
1449356702,0.159485,-0.87677,-0.217316
1449356702,0.066559,-0.651413,-0.166595
1449356702,0.077652,-0.728912,-0.185501
1449356702,0.10495,-0.810852,-0.21106
1449356702,0.146957,-0.851349,-0.253052
