timestamp,x (in G's),y (in G's),z (in G's)
1449353508.434884,-0.095917,-0.882843,-0.335419
1449353508.483302,-0.037064,-0.935059,-0.288239
1449353508.531585,-0.089737,-0.966141,-0.333862
1449353508.580002,-0.065170,-0.906021,-0.310349
1449353508.628418,-0.013702,-1.031616,-0.356583
1449353508.676827,-0.032166,-0.936050,-0.356705
1449353508.725241,-0.049011,-0.959259,-0.388184
1449353508.773657,-0.018723,-0.767838,-0.381851
1449353508.822069,-0.136917,-0.894028,-0.345215
1449353508.870483,-0.007858,-1.003860,-0.333862
1449353508.918899,-0.095322,-1.055252,-0.330795
1449353508.967313,-0.055771,-0.898865,-0.335678
1449353509.015732,-0.017014,-0.819000,-0.327667
1449353509.064146,-0.010284,-0.913788,-0.379868
1449353509.112560,-0.061768,-0.796173,-0.419098
1449353509.160979,-0.066696,-1.423096,-0.614731
1449353509.209393,-0.006195,-0.936157,-0.523193
1449353509.257808,0.077759,-0.901154,-0.449463
1449353509.306219,-0.047531,-0.884964,-0.509613
1449353509.354636,0.044708,-0.749084,-0.483322
1449353509.403055,-0.024597,-0.936737,-0.481461
1449353509.451473,-0.073959,-0.811981,-0.458252
1449353509.499887,-0.024475,-0.961365,-0.459015
1449353509.548304,-0.005188,-0.909027,-0.471695
1449353509.596720,0.009064,-0.925385,-0.465424
1449353509.645136,-0.017258,-0.848877,-0.535172
1449353509.693549,0.059967,-0.894485,-0.525085
1449353509.741961,0.015366,-0.885132,-0.525406
1449353509.790376,0.007431,-0.866653,-0.507721
1449353509.838791,-0.013885,-0.843369,-0.508759
1449353509.887205,-0.007721,-0.848251,-0.506790
1449353509.935617,0.009689,-0.850891,-0.510635
1449353509.984033,0.000931,-0.875320,-0.507904
1449353510.032449,-0.027298,-0.886734,-0.469986
1449353510.080865,-0.012024,-0.886734,-0.488846
1449353510.129280,-0.003601,-0.875336,-0.485245
1449353510.177697,-0.007339,-0.871460,-0.484222
1449353510.226115,-0.011047,-0.881927,-0.510651
1449353510.274529,-0.004913,-0.867050,-0.515427
1449353510.322942,-0.009857,-0.873611,-0.469437
1449353510.371357,0.006104,-0.895218,-0.466385
1449353510.419774,0.000046,-0.892410,-0.505081
1449353510.468187,-0.002716,-0.868530,-0.499710
1449353510.516602,-0.002213,-0.871063,-0.501282
1449353510.565016,-0.008881,-0.883606,-0.503815
1449353510.613435,0.008347,-0.893829,-0.493515
1449353510.661851,-0.012085,-0.862366,-0.497757
1449353510.710268,-0.014725,-0.876785,-0.506165
1449353510.758682,-0.021957,-0.867783,-0.501877
1449353510.807099,-0.005356,-0.849472,-0.542923
1449353510.855513,-0.028488,-0.875748,-0.487122
1449353510.903926,-0.033676,-0.833221,-0.570084
1449353510.952338,-0.028290,-0.854324,-0.539886
1449353511.000752,-0.006287,-0.873474,-0.468506
1449353511.049162,-0.020721,-0.926819,-0.487015
1449353511.097574,0.009537,-0.870621,-0.377121
1449353511.145986,0.026642,-0.936096,-0.429504
1449353511.194398,0.001892,-0.906387,-0.413773
1449353511.242811,0.016571,-0.889923,-0.405838
1449353511.291225,0.037949,-0.887436,-0.454407
1449353511.339638,0.043777,-0.938278,-0.424164
1449353511.388054,0.012238,-0.904968,-0.425858
1449353511.436465,0.049988,-0.919678,-0.412140
1449353511.484880,0.048325,-0.897949,-0.440292
1449353511.533295,0.055862,-0.898621,-0.418747
1449353511.581708,0.074387,-0.959213,-0.426941
1449353511.630125,0.085464,-0.959534,-0.424438
1449353511.678540,0.072861,-0.922165,-0.419312
1449353511.726952,0.070053,-0.889420,-0.398193
1449353511.775360,0.068451,-0.897476,-0.388474
1449353511.823773,0.050583,-0.910980,-0.397324
1449353511.872189,0.036896,-0.926926,-0.410400
1449353511.920602,0.036758,-0.921341,-0.428085
1449353511.969016,0.044067,-0.911041,-0.428360
1449353512.017432,0.041641,-0.919830,-0.419174
1449353512.065844,0.051880,-0.892349,-0.440552
1449353512.114252,0.060898,-0.907593,-0.410034
1449353512.162663,0.069687,-0.943604,-0.416199
1449353512.211076,0.049072,-0.926620,-0.420822
1449353512.259487,0.042938,-0.905212,-0.413101
1449353512.307901,0.027084,-0.888901,-0.395859
1449353512.356316,0.009827,-0.912369,-0.407181
1449353512.404731,0.017502,-0.936356,-0.403244
1449353512.453147,0.003540,-0.929993,-0.431259
1449353512.501566,0.025635,-0.903351,-0.431366
1449353512.549984,0.011322,-0.875778,-0.416916
1449353512.598400,0.010666,-0.914017,-0.416443
1449353512.646815,0.018356,-0.914062,-0.421371
1449353512.695228,0.010193,-0.941177,-0.436768
