timestamp,x (in G's),y (in G's),z (in G's)
1449471242,-0.064255,-0.986053,-0.120422
1449471242,-0.039673,-1.119995,-0.103836
1449471242,0.024597,-1.206833,0.031418
1449471242,0.201813,-1.163361,0.050156
1449471242,0.11525,-0.891266,-0.014832
1449471242,0.258667,-0.803467,-0.01976
1449471242,0.231827,-0.82988,-0.088928
1449471242,0.108063,-0.922226,-0.037247
1449471242,-0.002823,-1.106995,-0.05191
1449471242,0.055603,-1.119492,-0.010712
1449471242,0.072495,-1.108063,0.046432
1449471242,0.021759,-0.985092,0.056595
1449471242,-0.006271,-0.984024,-0.045532
1449471242,-0.00943,-1.036041,-0.165833
1449471242,-0.002319,-0.955856,-0.26059
1449471242,-0.030914,-0.942566,-0.388382
1449471242,-0.007812,-0.994705,-0.583679
1449471242,0.094894,-0.831024,-0.537201
1449471242,0.241608,-0.789841,-0.507904
1449471243,0.148438,-0.675186,-0.413391
1449471243,0.112625,-0.810654,-0.40892
1449471243,0.026932,-0.947021,-0.421143
1449471243,0,-0.964432,-0.333954
1449471243,0.009872,-1.035416,-0.299271
1449471243,0.02121,-1.019485,-0.200653
1449471243,0.055405,-1.038147,-0.096085
1449471243,0.040604,-1.067902,-0.014862
1449471243,0.050934,-1.022858,0.013474
1449471243,0.062271,-1.011765,-0.003769
1449471243,0.082214,-1.010529,-0.020203
1449471243,0.079834,-0.983871,-0.017929
1449471243,0.087097,-1.012543,-0.0784
1449471243,0.084366,-0.995682,-0.067139
1449471243,0.042114,-0.987152,-0.103943
1449471243,0.106369,-0.989471,-0.113708
1449471243,0.142929,-1.006165,-0.124863
1449471243,0.141647,-1.013992,-0.101334
1449471243,0.115234,-1.002258,-0.076981
1449471243,0.116119,-0.990433,-0.069016
1449471244,0.127869,-0.995834,-0.069458
1449471244,0.111343,-0.99649,-0.066238
1449471244,0.106567,-1.001282,-0.060852
1449471244,0.109146,-1.021927,-0.084808
1449471244,0.11882,-1.014648,-0.117264
1449471244,0.094681,-1.027496,-0.102097
1449471244,0.07428,-1.000793,-0.088531
1449471244,0.102539,-1.050674,-0.1073
1449471244,0.063004,-1.015076,-0.06459
1449471244,0.051804,-1.017136,-0.074905
1449471244,0.11734,-0.927505,-0.116058
1449471244,0.129227,-0.848587,-0.080063
1449471244,0.286484,-0.852127,-0.052551
1449471244,0.394669,-0.955521,-0.068634
1449471244,0.4198,-0.977737,-0.000595
1449471244,0.450439,-1.014816,-0.088425
1449471244,0.283615,-1.026108,0.045059
1449471244,0.281143,-1.02269,0.06488
1449471244,0.258057,-0.972305,0.132141
1449471244,0.254211,-0.942017,0.132858
1449471244,0.227325,-1.020508,0.080994
1449471245,0.136215,-0.984894,-0.051743
1449471245,0.021179,-1.069107,-0.111435
1449471245,-0.058243,-1.071411,-0.10437
1449471245,-0.157166,-0.965225,-0.20433
1449471245,-0.135056,-0.886169,-0.212204
1449471245,-0.010712,-0.907043,-0.303238
1449471245,0.019028,-0.951584,-0.380295
1449471245,0.018936,-0.909927,-0.393707
1449471245,0.024124,-0.909912,-0.354691
1449471245,-0.006287,-0.952209,-0.271271
1449471245,0.066422,-1.008743,-0.160553
1449471245,0.040329,-1.067719,-0.029633
1449471245,0.059006,-1.092743,-0.044601
1449471245,0.12915,-1.051987,0.072845
1449471245,0.245117,-1.084595,0.077026
1449471245,0.304398,-1.093704,0.128113
1449471245,0.557739,-0.968475,0.264877
1449471245,0.548798,-0.940079,0.255371
1449471245,0.602341,-0.955643,0.264801
1449471245,0.594223,-0.794601,0.229828
1449471246,0.40184,-0.612442,0.131012
1449471246,0.400543,-0.609451,-0.021057
1449471246,0.33577,-0.610168,-0.105469
1449471246,0.340256,-0.814926,-0.031036
1449471246,0.448105,-0.738403,0.058182
1449471246,0.437378,-0.89447,0.091156
1449471246,0.562485,-1.091675,0.13208
1449471246,0.396835,-1.066238,0.352371
1449471246,0.133926,-1.414124,0.492752
1449471246,0.303864,-1.410873,0.835236
1449471246,0.017487,-1.339478,0.902908
1449471246,0.312439,-1.371216,0.790482
1449471246,0.204697,-1.079422,0.671844
1449471246,0.327042,-1.005219,0.535522
1449471246,0.268906,-1.009949,0.472778
1449471246,0.295288,-0.920059,0.383682
1449471246,0.388199,-0.82251,0.32045
1449471246,0.387573,-0.67804,0.224213
1449471246,0.468246,-0.577728,0.184586
1449471246,0.368454,-0.485336,0.170395
1449471247,0.357803,-0.404541,0.130371
1449471247,0.312469,-0.495789,0.093903
1449471247,0.243576,-0.632172,0.003098
1449471247,0.245392,-0.915955,-0.077972
1449471247,0.185257,-1.077225,-0.066437
1449471247,0.141724,-1.055725,-0.037354
1449471247,0.07663,-0.887787,-0.107086
1449471247,0.015991,-0.769119,-0.070892
1449471247,0.071289,-0.816971,-0.157303
1449471247,0.095352,-0.921204,-0.047455
1449471247,0.021515,-0.958649,-0.067932
1449471247,0.144135,-1.248169,-0.119888
1449471247,-0.266937,-1.165359,0.458588
1449471247,-0.052444,-1.051437,0.026047
1449471247,-0.010391,-1.376053,0.065765
1449471247,-0.099121,-0.908737,0.032578
1449471247,-0.091827,-0.895248,0.025757
1449471247,-0.094894,-0.84761,0.035736
1449471247,-0.102463,-0.943832,0.127213
1449471247,-0.10173,-0.957123,0.108582
1449471248,-0.145599,-0.938019,0.12709
1449471248,-0.22757,-0.904053,0.093506
1449471248,-0.19873,-1.00386,0.044647
1449471248,-0.143982,-1.076859,-0.003662
1449471248,-0.116928,-1.000702,-0.066299
1449471248,-0.035202,-0.996841,-0.09346
1449471248,0.076477,-1.262665,-0.143723
1449471248,-0.002579,-1.043488,-0.148666
1449471248,-0.080582,-1.008453,-0.106537
1449471248,-0.008606,-0.876419,-0.111542
1449471248,0.013657,-0.980392,-0.10849
1449471248,0.065964,-1.0186,-0.114853
1449471248,0.081573,-0.999771,-0.14534
1449471248,0.08696,-1.004852,-0.137466
1449471248,0.042984,-0.975845,-0.161423
1449471248,0.014954,-0.977585,-0.130203
1449471248,0.001129,-1.003067,-0.142715
1449471248,-0.007874,-1.070419,-0.125031
1449471248,-0.088623,-1.082077,-0.082138
1449471248,-0.084946,-0.874359,-0.036728
1449471248,-0.072266,-0.96698,-0.039856
1449471249,-0.11998,-1.008865,0.054962
1449471249,-0.126999,-1.066025,0.05452
1449471249,-0.116226,-1.019699,0.080017
1449471249,-0.233215,-0.940659,0.111954
1449471249,-0.149841,-1.036606,0.053467
1449471249,-0.097931,-1.050034,0.047668
1449471249,-0.03598,-0.978821,0.007462
1449471249,-0.093887,-0.99556,0.057587
1449471249,-0.147598,-0.944855,0.058319
1449471249,-0.111984,-0.98114,0.063721
1449471249,-0.196259,-1.015137,0.063248
1449471249,-0.083054,-1.034851,0.052505
1449471249,-0.04187,-1.06366,0.048035
1449471249,-0.015625,-1.014847,0.03302
1449471249,0.081528,-1.127518,-0.014297
1449471249,0.304367,-0.982452,-0.004608
1449471249,0.269211,-1.013458,0.032593
1449471249,0.290222,-1.031952,-0.002457
1449471249,0.289307,-0.972,-0.01973
1449471249,0.267715,-0.941193,-0.03566
1449471250,0.26825,-0.909805,-0.072861
1449471250,0.249817,-0.961456,-0.046066
1449471250,0.211685,-0.979874,-0.069138
1449471250,0.178009,-0.954041,-0.059372
1449471250,0.167526,-0.936447,-0.057266
1449471250,0.206161,-0.94632,-0.021133
1449471250,0.229553,-1.021027,-0.01741
1449471250,0.185547,-1.106857,-0.000565
1449471250,0.176941,-0.997879,0.044662
1449471250,0.179398,-0.864258,0.008652
1449471250,0.112701,-1.03154,0.039261
1449471250,0.086136,-1.060333,0.013138
1449471250,0.026733,-1.027573,0.021118
1449471250,-0.000839,-1.02063,0.013687
1449471250,0.010086,-1.02977,0.016541
1449471250,-0.013504,-0.985703,0.044998
1449471250,-0.034195,-0.949493,0.055115
1449471250,-0.027008,-0.953949,0.071472
1449471250,-0.00827,-1.023285,0.072052
1449471250,0.051987,-1.113174,0.04953
1449471250,0.129227,-1.007874,0.039902
1449471251,0.17363,-0.913025,-0.002487
1449471251,0.210876,-1.001801,-0.033981
1449471251,0.19751,-1.090408,-0.056168
1449471251,0.166168,-1.041779,-0.080673
1449471251,0.157593,-0.964142,-0.116226
1449471251,0.152771,-0.87233,-0.136963
1449471251,0.175415,-0.944809,-0.122025
1449471251,0.179672,-0.904495,-0.145279
1449471251,0.140305,-0.965439,-0.156631
1449471251,0.163666,-1.023987,-0.151581
1449471251,0.147903,-1.019516,-0.169022
1449471251,0.149673,-0.99556,-0.144623
1449471251,0.129974,-1.079468,-0.142242
1449471251,0.160965,-1.209183,-0.078079
1449471251,0.057983,-1.263916,-0.046677
1449471251,0.079636,-0.832901,0.035019
1449471251,-0.085602,-0.734146,0.063049
1449471251,-0.141296,-0.989426,0.118057
1449471251,-0.12677,-1.264069,0.078125
1449471251,-0.017487,-0.999954,0.022064
1449471252,-0.018234,-0.873199,-0.017303
1449471252,-0.034912,-0.909576,-0.013947
1449471252,-0.014832,-0.986801,-0.038132
1449471252,0.006989,-0.99762,-0.027573
1449471252,0.01683,-0.990982,-0.036484
1449471252,-0.00087,-0.984009,-0.008423
1449471252,0.005066,-1.0112,-0.063782
1449471252,0.068146,-1.058014,-0.091248
1449471252,0.147705,-1.369034,-0.064102
1449471252,0.238632,-1.350449,-0.102295
1449471252,0.187286,-0.483185,0.139877
1449471252,0.224442,-0.795563,0.060486
1449471252,0.167755,-1.435791,0.043198
1449471252,0.226334,-0.963104,0.022156
1449471252,0.186111,-0.796204,0.022949
1449471252,0.156998,-0.878754,-0.002838
1449471252,0.182816,-0.976166,0.004883
1449471252,0.214691,-0.989151,0.033417
1449471252,0.152481,-0.989349,0.033325
