timestamp,x (in G's),y (in G's),z (in G's)
1449352537.417314,0.034424,-0.984833,-0.194199
1449352537.467622,0.022263,-0.988342,-0.196045
1449352537.517931,0.019485,-0.989883,-0.208374
1449352537.567602,0.027100,-0.978943,-0.199570
1449352537.617920,0.029846,-0.983917,-0.191071
1449352537.668223,0.027634,-0.996124,-0.197815
1449352537.718555,0.012329,-0.987427,-0.199982
1449352537.768870,0.026413,-0.978806,-0.203369
1449352537.819186,0.029022,-0.979324,-0.193604
1449352537.869503,0.026627,-0.993973,-0.190201
1449352537.919818,0.024704,-0.992157,-0.185120
1449352537.970134,0.037903,-0.980499,-0.198090
1449352538.020446,0.020035,-0.979980,-0.185715
1449352538.070761,-0.000305,-0.977158,-0.206482
1449352538.121081,0.011093,-0.995255,-0.225067
1449352538.171394,0.048996,-0.996872,-0.209641
1449352538.221711,0.014236,-0.979309,-0.205048
1449352538.272024,0.012955,-0.985962,-0.213074
1449352538.322340,-0.005478,-0.982147,-0.211136
1449352538.372659,0.033356,-0.987167,-0.186005
1449352538.422978,0.020920,-0.986572,-0.144608
1449352538.473299,0.019791,-1.002243,-0.163834
1449352538.523613,0.017120,-0.981262,-0.167313
1449352538.573929,0.023514,-1.005081,-0.099396
1449352538.624248,0.015869,-0.999634,-0.086487
1449352538.674570,0.005051,-0.985001,-0.087738
1449352538.724891,0.001556,-0.979660,-0.111755
1449352538.775212,0.054123,-0.989151,-0.088318
1449352538.825533,0.031265,-1.004318,-0.137726
1449352538.875851,0.010727,-0.994675,-0.151764
1449352538.926173,0.046158,-0.996811,-0.155441
1449352538.976492,0.046097,-0.996231,-0.180603
1449352539.026808,0.065399,-0.989807,-0.163452
1449352539.077127,0.032166,-1.000549,-0.181610
1449352539.127450,0.021271,-1.030518,-0.110260
1449352539.177771,0.069214,-0.979584,-0.101471
1449352539.228087,0.106430,-0.995758,-0.108383
1449352539.278400,0.036072,-1.002625,-0.136475
1449352539.328715,0.139694,-0.961090,-0.127960
1449352539.379032,0.005035,-1.020157,-0.160400
1449352539.429351,0.127777,-1.032867,-0.131058
1449352539.479674,0.062408,-0.968079,-0.132767
1449352539.529994,0.165634,-0.939240,-0.158157
1449352539.580318,0.088745,-0.998581,-0.157303
1449352539.630639,0.131332,-1.038406,-0.154785
1449352539.680959,0.098892,-0.987823,-0.133469
1449352539.731283,0.018311,-1.008545,-0.124817
1449352539.781603,0.028793,-1.047546,-0.039261
1449352539.831924,0.057358,-0.987854,-0.029510
1449352539.882248,0.001999,-1.005951,-0.009308
1449352539.932572,-0.009598,-1.039597,-0.034454
1449352539.982896,0.031067,-1.002640,-0.019653
1449352540.033217,0.010895,-0.999298,-0.086136
1449352540.083542,0.005737,-1.013596,-0.046371
1449352540.133867,-0.027008,-1.011200,-0.018936
1449352540.184193,-0.038483,-1.009048,-0.006500
1449352540.234518,-0.044998,-0.948181,0.007477
1449352540.284834,-0.096283,-0.931580,-0.071045
1449352540.335152,-0.034088,-1.037598,-0.000626
1449352540.385471,-0.021301,-1.017044,-0.045792
1449352540.435788,-0.014587,-1.019409,-0.086594
1449352540.486105,-0.012161,-1.025345,-0.057755
1449352540.536422,-0.009659,-0.989304,-0.101166
1449352540.586736,-0.011139,-1.029510,-0.082977
1449352540.637055,0.007736,-0.997925,-0.114914
1449352540.687369,-0.022842,-0.969055,-0.122375
1449352540.737688,0.022110,-0.999054,-0.113632
1449352540.788005,0.045486,-1.016220,-0.076187
1449352540.838328,0.040070,-1.038712,-0.076813
1449352540.888649,0.022797,-1.000320,-0.072495
1449352540.938968,0.020920,-0.998138,-0.079239
1449352540.989291,0.027283,-0.984039,-0.054672
1449352541.039609,0.022217,-0.998093,-0.097626
1449352541.089928,0.040237,-1.021103,-0.091080
1449352541.140246,-0.068512,-1.133636,-0.108109
1449352541.190566,0.071411,-0.968277,-0.115356
1449352541.240886,0.036240,-1.003174,-0.133774
1449352541.291202,0.013855,-1.006119,-0.136429
1449352541.341522,0.080704,-0.995575,-0.126312
1449352541.391844,0.074478,-0.995773,-0.091522
1449352541.442164,-0.000809,-0.989838,-0.087372
1449352541.492485,-0.008224,-1.015457,-0.092117
1449352541.542801,-0.006851,-1.065216,-0.034241
1449352541.593120,0.029297,-0.966568,-0.020126
1449352541.643442,0.021149,-1.050293,0.019775
1449352541.693763,-0.014755,-0.991058,0.036987
1449352541.744087,-0.011505,-1.020981,0.042252
1449352541.794407,-0.036835,-1.015060,0.086487
1449352541.844728,-0.028687,-1.021133,0.092133
1449352541.895050,-0.010956,-1.014908,0.061615
1449352541.945373,-0.017090,-1.008530,0.020172
1449352541.995693,-0.010635,-0.980484,0.019821
1449352542.046011,-0.032303,-0.977356,0.014557
1449352542.096332,-0.032776,-1.010345,0.008377
1449352542.146652,-0.083450,-1.029877,-0.014694
1449352542.196972,-0.040253,-1.001328,-0.014496
1449352542.247292,-0.077911,-0.983856,-0.009140
1449352542.297611,-0.062881,-1.002274,-0.000458
1449352542.347931,-0.052765,-0.961411,-0.017258
1449352542.398253,-0.062683,-1.009354,-0.004272
1449352542.448573,-0.030838,-1.036087,-0.005569
1449352542.498890,-0.016296,-1.036804,-0.001007
1449352542.549063,-0.070084,-0.993759,-0.029114
1449352542.599381,-0.056747,-1.008789,-0.019394
1449352542.649697,-0.074738,-1.060562,-0.019180
1449352542.700017,-0.029633,-1.027588,-0.004181
1449352542.750340,-0.093124,-1.039536,-0.000397
1449352542.800655,-0.123062,-0.951080,-0.024689
1449352542.850971,-0.028229,-0.961243,-0.049362
1449352542.901289,-0.011337,-0.981110,-0.028412
1449352542.951612,-0.065506,-1.081512,-0.009918
1449352543.001936,-0.041412,-1.003860,0.019836
1449352543.052259,-0.048294,-1.085464,0.003616
1449352543.102582,-0.113022,-0.967010,0.015884
1449352543.152905,-0.168930,-0.963943,0.062912
1449352543.203227,-0.317184,-0.770935,0.135727
1449352543.253546,-0.090546,-1.052979,0.090561
1449352543.303867,-0.201477,-1.024399,0.089310
1449352543.354191,-0.106796,-0.897797,0.152542
1449352543.404516,-0.152542,-0.969009,0.180878
1449352543.454840,-0.065598,-0.915329,0.151276
1449352543.505166,-0.097870,-1.031204,0.112549
1449352543.555490,-0.041779,-1.045853,0.135086
1449352543.605814,-0.068558,-1.020065,0.127136
1449352543.656137,-0.121658,-0.991638,0.124100
1449352543.706463,-0.161331,-0.957581,0.130524
1449352543.756786,-0.145447,-0.999100,0.120682
1449352543.807106,-0.141693,-1.005875,0.112961
1449352543.857430,-0.118881,-0.984253,0.063538
1449352543.907754,-0.087219,-0.989258,0.047928
1449352543.958080,-0.017609,-1.032379,0.026398
1449352544.008404,-0.067917,-1.027603,-0.010818
1449352544.058727,-0.099350,-1.063660,-0.011642
1449352544.109051,-0.106155,-0.941055,-0.047928
1449352544.159374,-0.192307,-1.039001,-0.053848
1449352544.209700,-0.101410,-0.894150,-0.010254
1449352544.260025,-0.062714,-0.979111,-0.029221
1449352544.310346,-0.054993,-0.984406,-0.041824
1449352544.360668,-0.032578,-1.022232,-0.060898
1449352544.410990,-0.090240,-1.026077,-0.111542
1449352544.461318,-0.057175,-1.034653,-0.085770
1449352544.511645,-0.043289,-0.986267,-0.099945
1449352544.561965,-0.010529,-0.958344,-0.118668
1449352544.612293,-0.073425,-1.026001,-0.099274
1449352544.662621,-0.030472,-1.069275,-0.150833
1449352544.712950,0.000122,-1.091797,-0.147202
1449352544.763278,-0.039566,-0.868042,-0.148331
1449352544.813604,-0.085815,-0.852020,-0.097046
1449352544.863929,0.063705,-0.871567,-0.108582
1449352544.914251,0.085968,-1.006042,-0.187927
1449352544.964575,0.034424,-1.099686,-0.231750
1449352545.014894,-0.027695,-1.106033,-0.199860
1449352545.065211,0.085190,-0.949600,-0.213821
1449352545.115534,0.002090,-0.983551,-0.210159
1449352545.165853,0.012741,-1.001511,-0.215424
1449352545.216175,-0.014771,-0.999649,-0.204468
1449352545.266493,-0.021606,-0.976486,-0.187057
1449352545.316810,-0.012207,-0.959381,-0.193115
1449352545.367131,0.011795,-0.964172,-0.208435
1449352545.417452,0.031815,-0.989594,-0.265854
1449352545.467776,0.030670,-1.004532,-0.247711
1449352545.518098,0.063736,-1.014481,-0.224777
1449352545.568417,0.017975,-0.993805,-0.205750
1449352545.618742,-0.004105,-0.980545,-0.190765
1449352545.669070,0.000214,-0.983185,-0.183807
1449352545.719394,-0.012939,-0.982376,-0.196640
1449352545.769711,-0.000961,-0.964523,-0.168137
1449352545.820029,0.023788,-0.965805,-0.188339
1449352545.870343,0.043304,-0.963699,-0.170364
1449352545.920661,0.054459,-1.024124,-0.207199
1449352545.970984,0.045883,-1.039993,-0.219803
1449352546.021304,0.047211,-1.005966,-0.174393
1449352546.071624,-0.004379,-0.975571,-0.165985
1449352546.121948,0.047516,-0.992477,-0.131699
1449352546.172270,0.028183,-0.999191,-0.167892
1449352546.222593,0.026642,-0.988419,-0.177322
1449352546.272911,0.010590,-0.969742,-0.169601
1449352546.323226,0.009171,-0.982681,-0.176285
1449352546.373544,0.031815,-0.988571,-0.172958
1449352546.423866,0.058014,-1.035400,-0.183762
1449352546.474188,0.029892,-0.985901,-0.173019
1449352546.524512,0.011795,-0.954391,-0.165024
1449352546.574831,-0.004852,-0.967651,-0.187012
1449352546.625154,0.012894,-0.970901,-0.179718
1449352546.675480,-0.005417,-1.009933,-0.166656
1449352546.725796,-0.013519,-1.023209,-0.175827
1449352546.776113,-0.015381,-1.008804,-0.176697
1449352546.826426,-0.038239,-1.016983,-0.163544
1449352546.876745,-0.015854,-0.943787,-0.171906
