timestamp,x (in G's),y (in G's),z (in G's)
1449382292,0.047501,-0.984482,-0.064316
1449382292,-0.007202,-0.943985,-0.099869
1449382292,-0.038879,-0.929047,-0.084335
1449382292,-0.083771,-1.039078,-0.130951
1449382292,-0.102386,-1.126556,-0.135254
1449382292,-0.005402,-0.961502,-0.100601
1449382292,-0.015884,-0.902374,-0.080444
1449382292,0.000336,-0.988205,-0.015137
1449382292,-0.00235,-1.036316,0.015533
1449382293,-0.016403,-1.093475,0.104706
1449382293,0.077377,-1.030823,0.13298
1449382293,0.137146,-1.030228,0.152481
1449382293,0.120377,-1.009598,0.173691
1449382293,0.127045,-0.96843,0.219025
1449382293,0.181183,-0.952393,0.273575
1449382293,0.253326,-0.930725,0.291855
1449382293,0.257355,-0.991684,0.299347
1449382293,0.291168,-0.998322,0.287918
1449382293,0.325027,-0.982117,0.273911
1449382293,0.27536,-0.987869,0.287277
1449382293,0.270218,-0.990173,0.317413
1449382293,0.285568,-0.993805,0.302841
1449382293,0.215103,-1.038483,0.203003
1449382293,0.137405,-1.047287,0.098114
1449382293,0.042358,-0.953659,0.053268
1449382293,-0.042908,-0.957672,0.023712
1449382293,-0.097305,-0.995117,-0.044373
1449382293,-0.100082,-0.992188,-0.032013
1449382293,-0.045456,-0.979111,-0.100647
1449382294,-0.092499,-0.958359,-0.093887
1449382294,-0.110229,-0.958542,-0.102524
1449382294,-0.145264,-0.958191,-0.144928
1449382294,-0.181351,-0.959824,-0.109192
1449382294,-0.141785,-1.014481,-0.093201
1449382294,-0.136902,-0.96991,-0.135605
1449382294,-0.133682,-1.019821,-0.130096
1449382294,-0.148041,-1.0242,-0.141418
1449382294,-0.07753,-1.006805,-0.112473
1449382294,-0.027451,-0.977203,-0.09697
1449382294,-0.044327,-1.019882,-0.124252
1449382294,-0.020828,-1.035767,-0.107925
1449382294,-0.052811,-1.030426,-0.079575
1449382294,-0.082321,-1.104401,-0.051102
1449382294,-0.016068,-0.94101,0.005829
1449382294,0.088837,-1.008942,0.020508
1449382294,0.069839,-1.090149,-0.009827
1449382294,0.022873,-0.977524,0.008072
1449382294,0.040237,-0.934692,0.032288
1449382294,0.009552,-0.937454,0.143265
1449382294,0.068008,-0.984314,0.123398
1449382295,0.019135,-0.989075,0.098221
1449382295,-0.073364,-1.038544,0.019775
1449382295,-0.089355,-1.071976,0.048615
1449382295,-0.121857,-1.060852,0.02652
1449382295,-0.150406,-0.944016,0.104492
1449382295,-0.165909,-0.829697,0.109329
1449382295,-0.138367,-0.895782,0.164444
1449382295,-0.185852,-1.093094,0.210587
1449382295,-0.069366,-1.076965,0.209061
1449382295,-0.157669,-1.141327,0.37085
1449382295,-0.132553,-1.118301,0.342209
1449382295,0.092178,-1.025452,0.324768
1449382295,0.00824,-1.115051,0.167969
1449382295,0.016937,-1.031479,0.135178
1449382295,0.075821,-0.888947,0.092407
1449382295,0.062561,-0.812775,0.100357
1449382295,0.098083,-0.815659,0.093079
1449382295,0.108322,-0.87175,0.18573
1449382295,0.106506,-0.972778,0.240723
1449382295,0.123413,-1.022293,0.230057
1449382295,0.185379,-0.981186,0.104202
1449382296,0.157913,-0.819214,0.12233
1449382296,0.226624,-0.829468,0.021683
1449382296,0.244461,-0.730179,0.092545
1449382296,0.322495,-0.444489,0.104111
1449382296,0.191788,-0.423172,0.181717
1449382296,0.256958,-0.539688,0.362442
1449382296,0.057358,-0.878296,0.558777
1449382296,0.274475,-1.304398,0.511993
1449382296,0.466263,-1.147736,0.498306
1449382296,0.289597,-1.56926,0.519867
1449382296,0.55777,-0.903381,0.755051
1449382296,0.371521,-0.858856,0.580582
1449382296,0.421326,-0.769455,0.544342
1449382296,0.346207,-0.547516,0.457733
1449382296,0.451523,-0.498199,0.53009
1449382296,0.416,-0.402664,0.592041
1449382296,0.335693,-0.445007,0.662216
1449382296,0.464722,-0.550064,0.724548
1449382296,0.314499,-0.702332,0.843704
1449382296,0.383835,-1.05661,0.87674
1449382297,0.279678,-1.302643,0.887772
1449382297,0.290146,-1.448639,0.964737
1449382297,0.254623,-1.147263,0.64006
1449382297,0.161606,-0.76062,0.304672
1449382297,-0.027649,-0.539963,0.162003
1449382297,-0.139954,-0.634415,0.081665
1449382297,-0.079117,-0.926193,0.067474
1449382297,-0.123276,-1.034637,-0.039642
1449382297,-0.275101,-1.091995,-0.008102
1449382297,-0.292923,-1.06134,-0.085632
1449382297,-0.345642,-0.97374,-0.163681
1449382297,-0.349319,-0.995834,-0.31366
1449382297,-0.313644,-0.882462,-0.360504
1449382297,-0.300339,-0.885666,-0.48822
1449382297,-0.115097,-0.857086,-0.598679
1449382297,-0.045639,-0.806183,-0.448822
1449382297,-0.023438,-0.868317,-0.436844
1449382297,-0.027603,-0.916,-0.270065
1449382297,-0.021927,-1.042755,-0.296478
1449382297,0.145935,-0.963776,-0.211334
1449382297,0.410095,-0.917526,-0.356506
1449382298,0.362503,-0.72081,-0.275818
1449382298,0.352692,-0.677353,-0.340118
1449382298,0.150055,-0.793365,-0.232117
1449382298,0.160828,-1.070953,-0.164459
1449382298,0.152191,-1.2798,-0.076401
1449382298,0.238525,-1.169846,0.016876
1449382298,0.151001,-1.04512,0.127594
1449382298,0.133896,-0.941727,0.126144
1449382298,0.176331,-0.850754,0.254395
1449382298,0.138428,-0.917435,0.329681
1449382298,0.130447,-1.036835,0.327515
1449382298,0.274185,-1.016312,0.346069
1449382298,0.292465,-0.964493,0.381363
1449382298,0.311111,-0.899002,0.232193
1449382298,0.433029,-0.879593,0.3255
1449382298,0.541824,-0.969131,0.290588
1449382298,0.569046,-0.999527,0.181259
1449382298,0.509476,-0.911896,0.120941
1449382298,0.395844,-0.891861,0.064926
1449382298,0.363373,-0.928101,0.042923
1449382298,0.292557,-0.944855,0.017365
1449382299,0.189835,-0.965805,0.025085
1449382299,0.187408,-0.963806,0.008316
1449382299,0.176758,-1.04982,-0.042191
1449382299,0.161835,-1.073975,-0.091003
1449382299,0.036392,-1.013443,-0.155106
1449382299,-0.013412,-0.980057,-0.175674
1449382299,-0.114304,-0.946762,-0.182053
1449382299,-0.137421,-0.918472,-0.194595
1449382299,-0.202332,-0.950378,-0.198013
1449382299,-0.306702,-0.91304,-0.181793
1449382299,-0.195374,-0.96843,-0.225555
1449382299,-0.307724,-0.947479,-0.229279
1449382299,-0.143005,-1.019531,-0.24585
1449382299,-0.215439,-0.986893,-0.290329
1449382299,-0.189514,-0.984192,-0.300232
1449382299,-0.14595,-0.927902,-0.307632
