timestamp,x (in G's),y (in G's),z (in G's)
1449380525,0.022766,-0.983795,-0.187607
1449380525,0.008957,-0.983658,-0.170807
1449380525,0.011002,-0.997406,-0.145279
1449380525,0.039215,-0.98439,-0.118866
1449380525,0.104568,-1.029312,-0.082199
1449380525,0.154022,-1.047653,-0.081573
1449380525,0.160492,-1.035065,-0.079102
1449380525,0.161972,-1.025436,-0.089157
1449380526,0.154663,-0.994949,-0.115524
1449380526,0.13739,-0.97316,-0.133911
1449380526,0.134064,-0.990036,-0.132401
1449380526,0.185593,-0.915314,-0.164719
1449380526,0.197952,-0.940201,-0.18927
1449380526,0.235947,-0.966309,-0.198547
1449380526,0.23584,-0.979767,-0.19841
1449380526,0.189651,-1.05542,-0.178848
1449380526,0.17215,-0.975403,-0.158188
1449380526,0.060516,-0.928604,-0.12532
1449380526,0.054825,-0.922089,-0.141098
1449380526,0.084061,-0.966309,-0.063782
1449380526,0.085602,-1.052155,-0.030548
1449380526,0.032288,-1.040665,-0.061508
1449380526,-0.031082,-1.057785,-0.09877
1449380526,-0.060074,-1.053436,-0.049896
1449380526,-0.054047,-0.992462,-0.056046
1449380526,-0.087097,-0.974487,-0.101929
1449380526,-0.015656,-1.044357,-0.04187
1449380526,0.008072,-1.026154,-0.14209
1449380527,0.024246,-1.006729,-0.087875
1449380527,0.016891,-0.96933,-0.094528
1449380527,-0.01825,-0.96701,-0.083878
1449380527,-0.093353,-0.964859,-0.09256
1449380527,-0.023132,-1.040939,-0.106781
1449380527,-0.062469,-1.019791,-0.072556
1449380527,-0.001465,-1.011215,-0.043427
1449380527,0.053604,-1.004837,-0.031372
1449380527,0.04039,-1.0056,-0.060699
1449380527,0.041107,-1.002167,-0.08905
1449380527,0.016998,-0.975586,-0.107758
1449380527,-0.004807,-0.974121,-0.112289
1449380527,-0.015289,-1.00499,-0.06839
1449380527,-0.014099,-0.980576,-0.08696
1449380527,-0.016785,-1.036606,-0.077911
1449380527,-0.033951,-1.018723,-0.100555
1449380527,-0.050217,-1.061905,-0.076828
1449380527,-0.079346,-0.98349,-0.101471
1449380527,-0.108261,-1.013214,-0.081024
1449380527,-0.125305,-0.980728,-0.096191
1449380528,-0.125595,-0.998306,-0.092102
1449380528,-0.100266,-1.017807,-0.103531
1449380528,-0.080032,-1.031433,-0.104843
1449380528,-0.060974,-1.034744,-0.109863
1449380528,-0.038803,-0.986145,-0.171799
1449380528,-0.041199,-0.989166,-0.155014
1449380528,-0.060379,-0.986328,-0.157761
1449380528,-0.027176,-0.982101,-0.158051
1449380528,-0.026459,-0.967239,-0.163574
1449380528,-0.006683,-0.994858,-0.165955
1449380528,-0.038467,-1.008133,-0.180466
1449380528,-0.051117,-0.967316,-0.150894
1449380528,-0.05719,-0.94072,-0.178345
1449380528,-0.063461,-0.968109,-0.166489
1449380528,-0.099655,-0.98735,-0.173798
1449380528,-0.090164,-0.984711,-0.166824
1449380528,-0.056381,-0.990997,-0.177094
1449380528,-0.03775,-1.02092,-0.182571
1449380528,-0.030502,-0.995224,-0.206284
1449380528,-0.015182,-0.983002,-0.194687
1449380529,-0.012253,-0.958679,-0.205734
1449380529,0.048187,-0.988342,-0.214905
1449380529,0.013641,-1.025818,-0.201767
1449380529,0.034149,-0.948517,-0.216949
1449380529,0.069061,-0.925034,-0.238785
1449380529,0.064728,-0.984192,-0.275513
1449380529,0.067261,-1.05867,-0.209183
1449380529,0.067825,-0.969238,-0.220673
1449380529,0.02211,-0.926804,-0.193878
1449380529,0.031143,-0.957886,-0.155579
1449380529,0.004318,-1.018921,-0.171066
