timestamp,x (in G's),y (in G's),z (in G's)
1449472333,0.013657,-0.971451,-0.025482
1449472334,0.086975,-0.955719,-0.033569
1449472334,0.096664,-1.065796,-0.019073
1449472334,0.089874,-1.10144,-0.056686
1449472334,0.063675,-1.028152,-0.059799
1449472334,0.040161,-0.974106,-0.055237
1449472334,0.057556,-0.904053,-0.057693
1449472334,0.078247,-0.962784,-0.02475
1449472334,0.085617,-1.014877,-0.028183
1449472334,0.08165,-1.008636,-0.020538
1449472334,0.062439,-1.000259,-0.005402
1449472334,0.050613,-1.067062,-0.003235
1449472334,0.046112,-1.092773,0.0159
1449472334,-0.020859,-1.313782,0.035645
1449472334,0.023361,-1.432266,0.093582
1449472334,0.105545,-0.937561,0.104126
1449472334,-0.002869,-0.6315,0.23204
1449472334,-0.290207,-0.789597,0.179367
1449472334,-0.194885,-1.306778,0.245255
1449472334,-0.02211,-0.998154,0.04541
1449472334,-0.014999,-0.812881,0.066437
1449472334,-0.052536,-0.894653,0.086975
1449472335,-0.05986,-0.97023,0.069519
1449472335,-0.031647,-0.980438,0.122101
1449472335,-0.00972,-1.006882,0.182495
1449472335,-0.000183,-1.068893,0.153687
1449472335,-0.000046,-1.170029,0.088882
1449472335,0.177612,-1.01944,0.193985
1449472335,0.213013,-0.913971,0.205475
1449472335,0.204575,-0.964508,0.176041
1449472335,0.186462,-0.975433,0.09166
1449472335,0.151855,-1.032425,0.100739
1449472335,0.142746,-0.937317,0.043076
1449472335,0.121841,-0.884995,0.04924
1449472335,0.074005,-1.053299,0.041794
1449472335,0.101456,-1.107346,0.018768
1449472335,0.10228,-0.980179,0.031723
1449472335,0.070145,-0.959641,0.043015
1449472335,0.068268,-1.031357,0.040649
1449472335,0.099564,-0.975296,0.058594
1449472335,0.071808,-1.055542,0.080551
1449472335,0.052643,-1.027802,0.04422
1449472336,0.07196,-0.987167,0.035187
1449472336,0.061752,-0.972763,0.060104
1449472336,0.034058,-0.984406,0.077118
1449472336,0.044113,-1.037598,0.047073
1449472336,0.04155,-1.010437,0.061523
1449472336,0.013199,-0.990585,0.086395
1449472336,0.006866,-1.011215,0.096115
1449472336,0.005005,-1.043304,0.087646
1449472336,0.018387,-1.018127,0.09433
1449472336,0.06163,-1.016556,0.081284
1449472336,0.099915,-0.973572,0.048508
1449472336,0.107941,-1.007935,0.064651
1449472336,0.130859,-1.046021,0.019485
1449472336,0.216904,-0.962921,0.049683
1449472336,0.18396,-0.957489,0.002029
1449472336,0.162369,-1.04631,0.010452
1449472336,0.230362,-1.012253,0.012344
1449472336,0.194641,-0.94516,-0.000397
1449472336,0.143936,-1.035217,-0.021164
1449472336,0.092651,-1.049225,0.023804
1449472336,0.015442,-0.988358,0.018021
1449472337,-0.063873,-1.007843,0.07283
1449472337,-0.122025,-1.029633,0.058762
1449472337,-0.154388,-1.020767,0.070175
1449472337,-0.141953,-1.030609,0.063812
1449472337,-0.078171,-0.94664,0.035522
1449472337,-0.109924,-1.012619,0.013977
1449472337,-0.124588,-1.005692,-0.011765
1449472337,-0.120636,-1.026917,-0.028885
1449472337,-0.126343,-1.018295,0.00885
1449472337,-0.172989,-0.985413,0.004288
1449472337,-0.164993,-0.966843,0.011337
1449472337,-0.152878,-0.976532,0.01947
1449472337,-0.120422,-0.986801,0.000076
1449472337,-0.096756,-1.018707,-0.02623
1449472337,-0.081863,-1.002243,-0.05513
1449472337,-0.114578,-1.003891,-0.05658
1449472337,-0.107132,-0.984741,-0.039749
1449472337,-0.102173,-0.9841,-0.052414
1449472337,-0.054413,-0.966766,-0.054291
1449472337,-0.081268,-1.02652,-0.062119
1449472337,-0.063461,-0.989044,-0.045776
1449472338,-0.086807,-0.97345,-0.050003
1449472338,-0.084213,-1.005142,-0.041016
1449472338,-0.087067,-1.038498,-0.083115
1449472338,-0.058426,-0.994827,-0.069305
1449472338,-0.07045,-1.01384,-0.082504
1449472338,-0.094376,-1.052963,-0.024399
1449472338,-0.083862,-1.203796,-0.007126
1449472338,-0.088394,-1.278351,0.108871
1449472338,-0.24469,-1.180206,0.154053
1449472338,-0.163254,-0.822296,0.23674
1449472338,-0.054596,-0.926468,0.181702
1449472338,-0.110092,-1.194168,0.156891
1449472338,-0.053391,-1.017624,0.047226
1449472338,-0.085678,-1.024384,0.017776
1449472338,-0.118195,-1.020187,-0.011703
1449472338,-0.021484,-0.983231,-0.062363
1449472338,0.047485,-0.896088,-0.035294
1449472338,0.108582,-0.879089,-0.075668
1449472338,0.15657,-0.909958,-0.080215
1449472338,0.233566,-0.927063,-0.04007
1449472339,0.27063,-0.878632,-0.121262
1449472339,0.223206,-0.881485,-0.049927
1449472339,0.216522,-1.088608,-0.106094
1449472339,0.306519,-0.887314,-0.138687
1449472339,0.281036,-0.865143,-0.248917
1449472339,0.302124,-1.092224,-0.303726
1449472339,0.339264,-1.151443,-0.315872
1449472339,0.320572,-1.059952,-0.337173
1449472339,0.417343,-0.950134,-0.286362
1449472339,0.304413,-0.646271,-0.350174
1449472339,0.136688,-0.38678,-0.18364
1449472339,0.230652,-0.448959,-0.29953
1449472339,0.360947,-0.671265,-0.237228
1449472339,0.3013,-0.596237,-0.148453
1449472339,0.413818,-0.677689,-0.071167
1449472339,0.493332,-0.811951,-0.133972
1449472339,0.454651,-0.668304,0.094086
1449472339,0.546371,-0.654831,0.182632
1449472339,0.608978,-0.786545,0.319611
1449472339,0.539536,-0.749405,0.523438
1449472339,0.663895,-1.112701,0.483002
1449472340,0.660248,-1.030228,0.69545
1449472340,0.690598,-1.054001,0.667755
1449472340,0.523941,-1.0242,0.767303
1449472340,0.291321,-1.194397,0.772308
1449472340,0.110474,-0.848679,0.565155
1449472340,-0.07019,-1.011444,0.450851
1449472340,-0.374893,-2.170166,0.152893
1449472340,-0.336502,-1.271515,-0.043655
1449472340,-0.407608,-0.483917,-0.149307
1449472340,-0.371643,-0.664047,-0.054321
1449472340,-0.401505,-0.945938,-0.032166
1449472340,-0.34848,-0.84996,-0.021454
1449472340,-0.388138,-0.883652,-0.075455
1449472340,-0.464844,-0.969254,-0.034515
1449472340,-0.367569,-1.010941,-0.063843
1449472340,-0.327377,-0.856628,-0.116486
1449472340,-0.278793,-0.882996,-0.09874
1449472340,-0.216354,-1.074966,-0.09108
1449472340,-0.089432,-1.256851,-0.126221
1449472340,0.094666,-1.221664,0.055847
1449472340,0.057281,-1.053207,-0.008911
1449472341,0.168732,-0.795624,0.116455
1449472341,0.064133,-0.740372,-0.009705
1449472341,0.028824,-0.820511,0.107086
1449472341,-0.010849,-1.08519,-0.023758
1449472341,-0.020523,-1.197891,0.020706
1449472341,-0.14563,-1.188904,-0.081879
1449472341,-0.158066,-1.083313,-0.123718
1449472341,-0.210129,-0.951843,-0.117264
1449472341,-0.183243,-0.9151,-0.149734
1449472341,-0.190826,-0.941086,-0.20874
1449472341,-0.219971,-1.002625,-0.391922
1449472341,-0.26088,-0.950836,-0.435181
1449472341,-0.242966,-1.001709,-0.446365
1449472341,-0.023987,-0.889374,-0.469971
1449472341,-0.034775,-0.839767,-0.416016
1449472341,-0.026871,-0.51445,-0.414398
1449472341,-0.117554,-0.719131,-0.372528
1449472341,-0.157242,-0.869446,-0.434433
1449472341,-0.182358,-0.929337,-0.451355
1449472341,-0.188004,-0.956329,-0.341751
1449472342,-0.131668,-1.027176,-0.347519
1449472342,-0.113739,-1.050522,-0.225784
1449472342,-0.110611,-1.007584,-0.151306
1449472342,-0.098083,-1.04097,-0.090515
1449472342,-0.018951,-1.192047,-0.025894
1449472342,0.160233,-1.268463,0.039368
1449472342,0.103516,-1.051498,0.126495
1449472342,0.168503,-0.995468,0.099335
1449472342,0.142914,-0.814255,0.175293
1449472342,0.124435,-0.852692,0.081787
1449472342,0.022934,-0.936874,0.076416
1449472342,0.037888,-1.027695,0.005722
1449472342,0.007202,-1.115768,-0.051544
1449472342,-0.122864,-1.114059,-0.082779
1449472342,-0.179382,-1.114014,-0.154007
1449472342,-0.183121,-0.971375,-0.093765
1449472342,-0.168503,-0.979019,-0.180206
1449472342,-0.147675,-0.94072,-0.255005
1449472342,-0.183029,-0.965866,-0.307739
1449472342,-0.195602,-0.827164,-0.43634
1449472342,-0.200684,-0.866547,-0.545456
1449472343,-0.14444,-0.79213,-0.570847
1449472343,-0.008926,-0.781448,-0.398972
1449472343,-0.079681,-0.878387,-0.364151
1449472343,-0.077927,-0.952026,-0.300293
1449472343,-0.155746,-0.995346,-0.290833
1449472343,-0.106857,-1.012268,-0.208389
1449472343,-0.052185,-0.985962,-0.183502
1449472343,-0.031006,-0.994049,-0.178635
1449472343,-0.013229,-1.039078,-0.159134
1449472343,-0.046509,-1.02623,-0.178833
1449472343,-0.047592,-1.036224,-0.17955
1449472343,-0.048264,-1.020767,-0.248657
1449472343,-0.072037,-0.976532,-0.255325
1449472343,-0.097397,-0.969986,-0.211472
1449472343,-0.047302,-1.001984,-0.19632
1449472343,0.001419,-1.023499,-0.228638
1449472343,0.025177,-1.014542,-0.210388
1449472343,-0.029953,-0.985092,-0.233856
1449472343,-0.063416,-0.90947,-0.197235
1449472343,-0.193634,-0.944321,-0.232346
1449472344,-0.191544,-0.960205,-0.261902
1449472344,-0.143341,-1.013672,-0.263611
1449472344,-0.046127,-0.924362,-0.276459
1449472344,-0.109253,-0.940079,-0.241257
1449472344,-0.039764,-0.991379,-0.269363
1449472344,-0.08075,-0.948059,-0.228775
1449472344,-0.096848,-1.00795,-0.226166
1449472344,-0.115112,-0.968063,-0.178574
1449472344,-0.233246,-1.032089,-0.194321
1449472344,-0.201706,-1.008102,-0.068222
1449472344,-0.244339,-1.012009,-0.035904
1449472344,-0.126801,-0.959702,0.04213
1449472344,-0.173767,-0.953613,-0.020264
1449472344,-0.08815,-0.980316,-0.016174
1449472344,-0.055893,-1.012543,-0.030273
1449472344,-0.074203,-1.058655,-0.095856
1449472344,-0.142944,-1.113113,-0.080292
1449472344,-0.153534,-0.994019,-0.160812
1449472344,-0.127625,-0.953262,-0.148773
1449472344,-0.118561,-0.964951,-0.085724
1449472344,-0.2155,-0.928009,-0.035614
1449472345,-0.231339,-0.913269,-0.041016
1449472345,-0.299759,-0.944656,0.087692
1449472345,-0.258301,-1.043991,0.02655
1449472345,-0.292557,-0.985931,0.092667
1449472345,-0.277405,-0.991791,0.052902
1449472345,-0.151489,-1.007065,0.042191
1449472345,-0.069672,-0.990158,0.049698
1449472345,-0.143326,-0.950211,0.066238
1449472345,-0.101364,-1.041687,-0.010361
