timestamp,x (in G's),y (in G's),z (in G's)
1449347453,-0.123795,-0.951416,-0.139435
1449347453,-0.079254,-1.029312,-0.210007
1449347453,0.061584,-1.050674,-0.224136
1449347453,0.100433,-0.964203,-0.129272
1449347453,0.089783,-1.065994,-0.16803
1449347453,0.212448,-0.839188,-0.139038
1449347453,0.194443,-0.8992,-0.01091
1449347453,0.152847,-0.911118,0.015442
1449347453,0.018585,-0.941299,0.068054
1449347453,-0.086899,-1.073898,0.0755
1449347454,-0.176102,-1.009506,0.064621
1449347454,-0.085709,-1.160095,0.45192
1449347454,-0.285751,-1.018478,0.464691
1449347454,-0.348022,-0.691254,0.365982
1449347454,-0.196854,-0.901657,0.149429
1449347454,0.074951,-0.763855,0.251236
1449347454,-0.066315,-0.987701,0.182053
1449347454,-0.011642,-1.195541,0.195938
1449347454,0.044891,-1.208633,0.105103
1449347454,-0.088165,-1.040985,0.110367
1449347454,-0.020081,-0.952408,0.084763
1449347454,-0.017319,-0.981094,0.156647
1449347454,0.050064,-0.921341,0.165909
1449347454,0.005936,-0.991272,0.113327
1449347454,-0.027512,-0.999207,0.061249
1449347454,-0.030609,-1.025452,0.021957
1449347454,-0.017944,-0.970871,0.028366
1449347454,-0.018906,-0.981918,-0.028198
1449347454,0.021423,-1.067368,-0.066452
1449347454,0.063477,-1.031738,-0.076355
1449347455,0.033813,-0.971252,-0.168671
1449347455,0.045135,-0.969391,-0.183701
1449347455,-0.00238,-0.989792,-0.230713
1449347455,0.023804,-0.982864,-0.291153
1449347455,0.017868,-0.964981,-0.328445
1449347455,-0.010437,-0.954544,-0.352814
1449347455,-0.00383,-0.962357,-0.30748
1449347455,0.060226,-0.930237,-0.369431
1449347455,0.017105,-0.934097,-0.377991
1449347455,0.047363,-0.977722,-0.280441
1449347455,0.003555,-0.930969,-0.296951
1449347455,0.019897,-0.987259,-0.352905
1449347455,0.079224,-0.87886,-0.650375
1449347455,0.064728,-0.570282,-0.613724
1449347455,0.191895,-0.653397,-0.559372
1449347455,0.031296,-0.749252,-0.502731
1449347455,0.051819,-0.927902,-0.48822
1449347455,0.074677,-1.060959,-0.418427
1449347455,0.011887,-1.000763,-0.394028
1449347455,0.06131,-0.919098,-0.385941
1449347456,0.071213,-0.831451,-0.332321
1449347456,0.077911,-0.963593,-0.351868
1449347456,0.075836,-1.018005,-0.249344
1449347456,0.123856,-0.994171,-0.188019
1449347456,0.054916,-1.002548,-0.154724
1449347456,0.093994,-1.022461,-0.114105
1449347456,0.093918,-0.988388,-0.055756
1449347456,0.101944,-0.978226,-0.010986
1449347456,0.110352,-1.013779,0.014069
1449347456,0.09227,-1.034943,-0.002335
1449347456,0.119934,-1.02626,-0.001694
1449347456,0.173721,-1.005737,-0.029404
1449347456,0.15773,-1.00238,-0.025192
1449347456,0.136841,-0.979263,-0.069595
1449347456,0.162216,-1.001114,-0.067719
