timestamp,x (in G's),y (in G's),z (in G's)
1449471642,0.028015,-1.014755,-0.289032
1449471642,0.015274,-1.033813,-0.246872
1449471642,0.094452,-1.117569,-0.283142
1449471642,0.101654,-0.97821,-0.384293
1449471642,-0.151413,-0.748856,-0.496948
1449471642,-0.117889,-0.638809,-0.45134
1449471642,-0.016037,-0.764511,-0.300552
1449471643,0.059143,-0.875443,-0.351562
1449471643,0.009476,-0.944641,-0.431152
1449471643,-0.01796,-0.89743,-0.390976
1449471643,0.090668,-0.977859,-0.444977
1449471643,0.027695,-1.033142,-0.285324
1449471643,0.029037,-1.0345,-0.251801
1449471643,0.111252,-1.035965,-0.18782
1449471643,0.110153,-1.088623,-0.04776
1449471643,0.063812,-1.097397,0.010757
1449471643,0.007248,-1.067932,0.134247
1449471643,-0.119217,-0.999542,0.139282
1449471643,-0.119141,-0.889648,0.138977
1449471643,-0.177521,-0.938354,0.040573
1449471643,-0.106522,-0.986969,0.06665
1449471643,-0.073318,-1.072891,-0.163559
1449471643,-0.075378,-1.040268,-0.137222
1449471643,-0.032379,-0.976227,-0.218979
1449471643,0.082901,-0.974518,-0.131546
1449471643,-0.087677,-0.968506,-0.186844
1449471643,0.071777,-0.881165,-0.219849
1449471643,0.130905,-0.950439,-0.235718
1449471644,0.182953,-0.983765,-0.218567
1449471644,0.179764,-1.003876,-0.227905
1449471644,0.225418,-0.958771,-0.223068
1449471644,0.223236,-0.952026,-0.232285
1449471644,0.233017,-1.004288,-0.13237
1449471644,0.222931,-1.010483,-0.135391
1449471644,0.228134,-0.997192,-0.093826
1449471644,0.208084,-0.999939,-0.044586
1449471644,0.164154,-0.987747,-0.041
1449471644,0.190323,-0.991745,-0.022324
1449471644,0.143036,-0.953339,-0.031815
1449471644,0.122543,-0.955978,0.006104
1449471644,0.107742,-1.021469,0.049774
1449471644,0.135788,-1.041245,0.076706
1449471644,0.130554,-1.024673,0.141922
1449471644,0.060043,-1.044388,0.15094
1449471644,0.049576,-0.989456,0.143768
1449471644,0.022034,-1.000473,0.133514
1449471644,-0.00296,-1.026825,0.12175
1449471644,0.023209,-1.025635,0.150864
1449471645,-0.021194,-1.004745,0.119888
1449471645,-0.057312,-1.050766,0.093353
1449471645,-0.060913,-1.032822,0.052917
1449471645,-0.055756,-1.034103,0.01886
1449471645,-0.075928,-0.99678,0.002289
1449471645,-0.187241,-1.05307,-0.100479
1449471645,-0.128586,-1.048431,-0.063202
1449471645,-0.086014,-0.941895,-0.245773
1449471645,-0.103745,-0.855392,-0.285583
1449471645,-0.296692,-0.891937,-0.260086
1449471645,-0.287018,-0.935013,-0.290482
1449471645,-0.15509,-0.949356,-0.191238
1449471645,-0.163635,-0.937866,-0.137405
1449471645,-0.186707,-0.98349,-0.151138
1449471645,-0.152145,-1.013306,-0.17424
1449471645,-0.189117,-1.009491,-0.103195
1449471645,-0.245651,-1.014938,-0.113617
1449471645,-0.144989,-0.990326,-0.099731
1449471645,-0.101471,-0.919327,-0.16156
1449471645,-0.1474,-0.950989,-0.171478
1449471645,-0.184891,-0.990952,-0.133301
1449471646,-0.084641,-0.999634,-0.123093
1449471646,-0.11557,-0.984726,-0.15834
1449471646,-0.014954,-0.984695,-0.109695
1449471646,0.094177,-0.9879,-0.164368
1449471646,0.140182,-1.055099,-0.152863
1449471646,0.123566,-1.054855,-0.109482
1449471646,0.253998,-1.095581,-0.035934
1449471646,0.240326,-1.062683,-0.087936
1449471646,0.307343,-0.988388,-0.079437
1449471646,0.315018,-0.978088,-0.020813
1449471646,0.439423,-0.928223,-0.021866
1449471646,0.443161,-1.003281,-0.007477
1449471646,0.53157,-0.851715,-0.024918
1449471646,0.48735,-0.612778,-0.125244
1449471646,0.53334,-0.501068,-0.224808
1449471646,0.482864,-0.698975,-0.186417
1449471646,0.425766,-0.731628,-0.139313
1449471646,0.436401,-0.778519,-0.114227
1449471646,0.594833,-0.811874,-0.058823
1449471646,0.557983,-0.942001,0.138123
1449471646,0.464966,-1.197403,0.328583
1449471647,0.499695,-1.214294,0.580658
1449471647,0.491791,-1.258148,0.678543
1449471647,0.662247,-1.473709,0.789383
1449471647,0.669281,-1.302139,0.676453
1449471647,0.577316,-1.222137,0.682709
1449471647,0.455078,-1.251831,0.578461
1449471647,0.590515,-1.248795,0.354431
1449471647,0.557236,-1.06546,0.355576
1449471647,0.496307,-0.818924,0.048096
1449471647,0.33255,-0.56427,0.0224
1449471647,0.379013,-0.337448,0.003616
1449471647,0.177872,-0.1707,0.013809
1449471647,0.102432,-0.030334,-0.021179
1449471647,0.103775,-0.246674,-0.126602
1449471647,0.202072,-0.656647,-0.231216
1449471647,0.270065,-0.912354,-0.242844
1449471647,0.329803,-1.118729,-0.268112
1449471647,0.181549,-1.067642,-0.165405
1449471647,0.146027,-0.965958,-0.126343
1449471647,0.167038,-0.902161,-0.095123
1449471648,0.11058,-0.942184,-0.090179
1449471648,0.124268,-0.872009,-0.121506
1449471648,0.046555,-1.004074,-0.10379
1449471648,0.04451,-1.005814,-0.140106
1449471648,-0.038971,-1.125244,-0.244705
1449471648,-0.159912,-1.559509,0.202271
1449471648,-0.03067,-1.0271,0.146729
1449471648,-0.113251,-1.027557,0.239761
1449471648,-0.143112,-0.951294,0.132553
1449471648,-0.153091,-0.906921,0.111038
1449471648,-0.144043,-0.965652,0.158051
1449471648,-0.163269,-0.907501,0.174866
1449471648,-0.156784,-0.922058,0.17804
1449471648,-0.26506,-0.896652,0.190948
1449471648,-0.33403,-0.989227,0.13858
1449471648,-0.232956,-1.049637,-0.005859
1449471648,-0.116089,-1.010635,-0.10611
1449471648,-0.00795,-1.082077,-0.196533
1449471648,0.02681,-1.296722,-0.210693
1449471648,0.023346,-0.985336,-0.228439
1449471648,0.010132,-1.015427,-0.240433
1449471649,-0.015869,-0.872971,-0.201599
1449471649,0.015854,-0.859406,-0.202576
1449471649,0.086777,-0.955811,-0.209061
1449471649,0.116898,-0.985077,-0.19223
1449471649,0.082977,-1.051117,-0.1978
1449471649,0.058594,-0.957108,-0.236847
1449471649,0.079514,-1.012512,-0.292053
1449471649,0.009888,-0.999939,-0.243958
1449471649,-0.022202,-0.964981,-0.250137
1449471649,-0.05307,-0.978607,-0.22821
1449471649,-0.066925,-0.968353,-0.206802
1449471649,-0.028748,-0.987778,-0.192627
1449471649,0.004913,-1.019318,-0.190491
1449471649,0.054871,-1.038055,-0.143188
1449471649,-0.012939,-1.072159,-0.135696
1449471649,-0.015274,-1.014389,-0.009644
1449471649,-0.032043,-0.923294,0.050308
1449471649,-0.160614,-1.149353,0.095352
1449471649,-0.135941,-1.07399,0.100235
1449471649,-0.121216,-0.912354,0.094742
1449471649,-0.123215,-0.950089,0.075119
1449471650,-0.081131,-1.071411,0.040771
1449471650,-0.090103,-1.000946,0.057404
1449471650,-0.068817,-0.995193,0.058609
1449471650,-0.088959,-0.988815,0.063705
1449471650,-0.073914,-0.97525,0.072174
1449471650,-0.04895,-1.015106,0.084457
1449471650,-0.065094,-0.999222,0.124771
1449471650,-0.072006,-1.018005,0.144348
1449471650,-0.087601,-1.038193,0.138214
1449471650,-0.116867,-0.99588,0.14064
1449471650,-0.136414,-1.069199,0.088333
1449471650,-0.022675,-1.022903,0.029266
1449471650,0.04126,-0.881241,0.019867
1449471650,-0.030472,-0.900116,0.026382
1449471650,0.037704,-1.060013,-0.008301
1449471650,0.058777,-1.139465,-0.023849
1449471650,0.03804,-1.039566,-0.03215
1449471650,-0.009354,-0.97493,-0.038193
1449471650,0.053802,-0.936844,-0.05072
1449471650,0.113235,-1.068359,-0.045349
1449471651,0.01532,-1.198242,0.06076
1449471651,0.039734,-0.811203,-0.063995
1449471651,-0.10228,-0.954239,0.016586
1449471651,-0.097137,-1.0979,0.024887
1449471651,-0.017654,-1.030945,-0.026184
1449471651,0.0224,-0.884888,-0.046005
1449471651,0.069946,-0.954315,-0.042557
1449471651,0.171448,-1.006729,-0.013077
1449471651,0.225433,-1.04483,0.003677
1449471651,0.280212,-1.054138,0.001495
1449471651,0.216812,-1.03389,0.001129
