0,2.2,2,,x (in G's),y (in G's),z (in G's)
1,2.2,2,,0.140167,-0.859116,-0.515305
2,2.2,2,,0.113144,-0.842896,-0.511368
3,2.2,2,,0.132996,-0.854889,-0.495071
4,2.2,2,,0.109039,-0.864609,-0.520538
5,2.3,2,,0.131699,-0.856369,-0.530884
6,2,2,,0.131989,-0.862686,-0.50296
7,2,2,,0.131851,-0.854004,-0.4953
8,2,2,,0.136673,-0.860733,-0.498962
9,2,2,,0.134689,-0.872009,-0.523743
10,2,2,,0.106995,-0.864136,-0.518661
11,2,2,,0.130737,-0.86499,-0.519699
12,2,2,,0.118225,-0.859238,-0.513107
13,2,2,,0.109024,-0.863953,-0.503815
14,2,2,,0.127686,-0.863678,-0.515793
15,2,2,,0.12793,-0.855377,-0.506134
16,2,2,,0.135147,-0.858871,-0.51622
17,2,2,,0.154556,-0.864929,-0.500916
18,2,2,,0.133087,-0.863388,-0.489883
19,2,2,,0.137756,-0.872131,-0.489853
20,2,2,,0.114029,-0.875702,-0.509979
21,2,2,,0.113327,-0.864624,-0.51442
22,2,2,,0.107376,-0.854111,-0.511292
23,2,2,,0.141968,-0.861053,-0.497437
24,2,2,,0.12175,-0.860153,-0.504684
25,2,2,,0.136322,-0.863281,-0.4944
26,2,2,,0.140045,-0.858017,-0.50708
27,2,2,,0.140244,-0.849731,-0.517593
28,2,2,,0.131699,-0.853241,-0.510361
29,2,2,,0.145966,-0.844437,-0.534866
30,2,2,,0.136063,-0.847839,-0.520996
31,2,2,,0.144455,-0.849854,-0.534653
32,2,2,,0.126511,-0.847015,-0.525986
33,2,2,,0.148422,-0.841202,-0.552139
34,2,2,,0.13649,-0.823135,-0.571213
35,2,2,,0.137177,-0.814301,-0.588638
36,2,2,,0.150085,-0.808304,-0.613281
37,2,2,,0.152573,-0.798019,-0.623962
38,2,2,,0.143829,-0.796478,-0.621368
39,2,2,,0.133179,-0.794342,-0.641571
40,2,2,,0.17041,-0.785156,-0.63707
41,2,2,,0.140579,-0.790741,-0.652359
42,2,2,,0.136169,-0.781845,-0.624924
43,2,2,,0.158768,-0.788193,-0.645691
44,2,2,,0.144165,-0.794449,-0.628281
45,2,2,,0.141296,-0.811401,-0.611115
46,2,2,,0.150681,-0.804657,-0.605621
47,2,2,,0.147476,-0.825104,-0.583221
48,2,2,,0.15567,-0.833832,-0.580826
49,2,2,,0.154999,-0.825348,-0.561249
50,2,2,,0.161972,-0.836655,-0.568298
51,2,2,,0.136688,-0.843628,-0.537186
52,2,2,,0.141052,-0.839417,-0.556152
53,2,2,,0.142441,-0.82782,-0.537643
54,2,2,,0.139771,-0.847092,-0.55452
55,2.2,2,,0.146637,-0.844971,-0.557907
56,2,2,,0.149277,-0.830078,-0.562866
57,2,2,,0.141251,-0.837784,-0.552155
58,2,2,,0.14119,-0.836517,-0.557159
59,2,2,,0.135406,-0.831512,-0.570572
60,2,2,,0.1586,-0.839645,-0.582932
61,2,2,,0.157852,-0.826584,-0.551956
62,2,2,,0.144958,-0.831528,-0.551834
63,2,2,,0.147705,-0.844788,-0.581802
64,2,2,,0.140945,-0.8181,-0.585205
65,2,2,,0.153351,-0.818146,-0.579575
66,2,2,,0.131042,-0.826721,-0.559799
67,2,2,,0.144089,-0.851532,-0.603607
68,2,2,,0.136383,-0.815109,-0.589981
69,2,2,,0.147766,-0.805969,-0.563705
70,2,2,,0.149826,-0.823257,-0.568649
71,2,2,,0.161484,-0.835114,-0.59494
72,2,2,,0.151337,-0.824036,-0.598846
73,2,2,,0.131912,-0.822906,-0.533661
74,2,2,,0.136124,-0.842346,-0.573471
75,2,2,,0.136765,-0.826752,-0.583923
76,2,2,,0.144241,-0.827744,-0.570511
77,2.2,2,,0.133301,-0.835831,-0.563431
78,2,2,,0.122849,-0.843185,-0.607422
79,2.2,2,,0.115524,-0.817108,-0.577774
80,2,2,,0.128296,-0.815018,-0.553925
81,2,2,,0.13736,-0.829453,-0.572998
82,2.2,2,,0.174561,-0.82312,-0.580933
83,2,2,,0.15387,-0.814423,-0.572113
84,2.7,3,,0.159546,-0.829086,-0.553345
85,3.2,3,,0.134186,-0.839249,-0.584824
86,2.1,2,,0.135529,-0.815506,-0.597916
87,1.7,2,,0.146164,-0.801804,-0.5578
88,2.5,3,,0.160873,-0.805771,-0.569168
89,1.8,2,,0.155289,-0.829315,-0.591034
90,1.2,1,,0.13353,-0.833435,-0.58493
91,1.4,1,,0.107559,-0.842453,-0.567139
92,1.4,1,,0.096771,-0.845016,-0.578415
93,1.4,1,,0.088364,-0.849106,-0.575027
94,1.5,2,,0.112411,-0.82251,-0.568909
95,1.4,1,,0.140076,-0.810867,-0.552246
96,1.4,1,,0.15744,-0.824921,-0.532776
97,1.3,1,,0.159241,-0.866394,-0.592697
98,1.4,1,,0.145416,-0.829666,-0.571365
99,1.4,1,,0.064072,-0.829666,-0.541641
100,1.4,1,,0.065369,-0.851303,-0.561722
101,1.4,1,,0.088272,-0.840744,-0.582443
102,1.4,1,,0.115341,-0.853317,-0.556519
103,1.4,1,,0.122513,-0.856262,-0.542084
104,1.4,1,,0.171417,-0.83165,-0.510864
105,1.4,1,,0.176224,-0.829575,-0.515793
106,1.8,2,,0.15062,-0.810944,-0.538361
107,1.5,2,,0.143082,-0.80777,-0.523605
108,2.1,2,,0.141678,-0.835754,-0.524612
109,1.5,2,,0.13063,-0.87413,-0.551254
110,1.6,2,,0.124207,-0.930084,-0.610992
111,1.4,1,,0.079102,-0.86142,-0.574768
112,2.1,2,,0.040741,-0.837479,-0.520782
113,1.5,2,,0.056396,-0.846664,-0.523026
114,1.3,1,,0.110962,-0.821503,-0.546112
115,1.4,1,,0.127884,-0.799881,-0.53183
116,1.7,2,,0.138962,-0.822449,-0.525589
117,1.7,2,,0.114777,-0.860535,-0.5289
118,1.7,2,,0.096664,-0.875824,-0.582077
119,1.3,1,,0.137177,-0.852524,-0.596542
120,1.4,1,,0.146408,-0.841248,-0.559235
121,1.4,1,,0.151855,-0.84848,-0.511932
122,1.3,1,,0.117386,-0.868729,-0.538132
123,1.4,1,,0.108734,-0.853592,-0.545685
124,1.4,1,,0.039886,-0.822601,-0.538605
125,1.7,2,,0.066177,-0.878662,-0.574158
126,1.4,1,,0.081558,-0.83728,-0.587769
127,1.4,1,,0.090729,-0.812729,-0.519623
128,1.7,2,,0.095673,-0.848801,-0.530411
129,1.5,2,,0.114822,-0.853577,-0.535965
130,2.1,2,,0.132751,-0.819046,-0.541901
131,2.1,2,,0.138153,-0.836731,-0.483383
132,1.7,2,,0.128632,-0.87088,-0.5616
133,1.7,2,,0.135437,-0.836121,-0.564148
134,1.7,2,,0.115448,-0.841904,-0.499619
135,2.1,2,,0.1129,-0.871017,-0.531204
136,1.7,2,,0.109543,-0.876785,-0.580658
137,1.6,2,,0.123993,-0.838928,-0.581909
138,1.8,2,,0.108841,-0.82225,-0.536697
139,1.6,2,,0.082642,-0.829147,-0.504959
140,1.7,2,,0.044052,-0.844299,-0.530518
141,1.7,2,,0.071747,-0.84169,-0.537262
142,1.5,2,,0.088837,-0.864197,-0.55275
143,1.7,2,,0.110107,-0.862152,-0.56044
144,1.6,2,,0.127243,-0.828186,-0.50441
145,2.2,2,,0.113022,-0.867859,-0.513092
146,1.6,2,,0.107819,-0.888062,-0.533981
147,2.2,2,,0.123505,-0.884674,-0.529022
148,2.2,2,,0.096893,-0.887802,-0.516144
149,1.9,2,,0.076141,-0.849335,-0.524872
150,1.9,2,,0.119934,-0.80278,-0.443054
151,2.2,2,,0.116333,-0.850433,-0.447006
152,2.2,2,,0.157578,-0.917496,-0.506104
153,2.2,2,,0.119675,-0.851135,-0.519379
154,2.2,2,,0.100632,-0.846542,-0.471054
155,2.2,2,,0.012024,-0.874313,-0.487289
156,2.2,2,,0.060501,-0.887238,-0.51535
157,2.1,2,,0.069046,-0.848373,-0.503815
158,2.1,2,,0.097626,-0.886368,-0.502899
159,2.2,2,,0.074829,-0.943069,-0.533676
160,2.2,2,,0.088089,-0.851608,-0.534973
161,2.2,2,,0.139786,-0.829254,-0.435516
162,2.2,2,,0.113312,-0.903824,-0.519577
163,2.2,2,,0.162689,-0.825836,-0.505676
164,2.2,2,,0.121521,-0.819794,-0.474686
165,2.1,2,,0.104538,-0.886459,-0.534531
166,2,2,,0.081345,-0.874359,-0.562714
167,2.2,2,,0.063812,-0.848572,-0.521164
168,2.2,2,,0.066925,-0.864822,-0.487167
169,2.2,2,,0.073318,-0.856171,-0.540421
170,1.7,2,,0.121109,-0.836243,-0.561096
171,1.5,2,,0.107315,-0.849304,-0.568237
172,1.7,2,,0.111496,-0.889816,-0.563049
173,1.8,2,,0.114563,-0.846069,-0.571121
174,1.4,1,,0.090607,-0.786926,-0.472351
175,1.4,1,,0.106522,-0.846497,-0.517059
176,1.8,2,,0.145889,-0.882996,-0.600601
177,1.4,1,,0.13002,-0.83136,-0.554337
178,1.8,2,,0.098206,-0.793381,-0.479416
179,1.4,1,,0.079453,-0.837891,-0.510696
180,1.4,1,,0.10434,-0.862228,-0.55426
181,1.4,1,,0.119522,-0.862762,-0.590286
182,2,2,,0.112854,-0.850449,-0.557556
183,1.4,1,,0.106949,-0.80513,-0.530731
184,1.3,1,,0.11348,-0.80809,-0.527924
185,1.3,1,,0.125732,-0.833557,-0.563599
186,1.4,1,,0.121933,-0.827118,-0.56485
187,1.3,1,,0.117691,-0.837021,-0.538528
188,1.4,1,,0.124176,-0.849976,-0.547729
189,1.3,1,,0.128143,-0.840561,-0.540451
190,1.7,2,,0.136841,-0.851227,-0.538559
191,2.1,2,,0.123459,-0.827423,-0.526657
192,2,2,,0.098801,-0.83139,-0.518234
193,2.1,2,,0.097488,-0.85675,-0.50148
194,2.1,2,,0.101273,-0.901428,-0.568039
195,1.4,1,,0.108978,-0.82811,-0.557373
196,2.1,2,,0.139282,-0.824371,-0.483627
197,2.1,2,,0.121155,-0.840851,-0.494736
198,2.2,2,,0.121628,-0.884583,-0.53891
199,2.1,2,,0.099487,-0.859924,-0.5392
200,1.8,2,,0.094238,-0.839905,-0.4888
201,1.8,2,,0.110901,-0.871506,-0.507309
202,1.9,2,,0.158676,-0.892441,-0.543777
203,1.7,2,,0.132767,-0.840347,-0.538681
204,1.5,2,,0.116913,-0.834579,-0.471222
205,2.1,2,,0.12262,-0.867874,-0.501129
206,2.1,2,,0.131516,-0.854004,-0.53067
207,2.1,2,,0.13945,-0.817657,-0.536972
208,2.1,2,,0.104172,-0.851715,-0.473312
209,2.1,2,,0.064529,-0.898163,-0.533752
210,2.1,2,,0.074142,-0.884628,-0.545349
211,2.1,2,,0.105804,-0.869751,-0.536346
212,2.1,2,,0.121307,-0.866928,-0.511139
213,2.2,2,,0.170532,-0.886948,-0.538467
214,2.1,2,,0.136185,-0.835983,-0.499481
215,1.6,2,,0.087814,-0.84874,-0.496826
216,1.6,2,,0.078751,-0.843628,-0.528122
217,1.5,2,,0.076889,-0.851532,-0.494858
218,1.3,1,,0.084473,-0.860825,-0.541382
219,1.3,1,,0.097198,-0.872726,-0.515091
220,1.4,1,,0.100372,-0.878143,-0.57489
221,1.2,1,,0.090317,-0.848389,-0.507019
222,1.3,1,,0.116928,-0.9021,-0.554153
223,1.4,1,,0.142151,-0.854935,-0.560303
224,1.5,2,,0.10025,-0.825089,-0.500229
225,1.3,1,,0.068344,-0.838013,-0.490372
226,1.5,2,,0.089066,-0.874451,-0.550095
227,1.3,1,,0.133118,-0.871613,-0.522507
228,1.3,1,,0.125885,-0.888107,-0.527328
229,1.8,2,,0.106064,-0.860275,-0.51828
230,2.1,2,,0.085266,-0.849136,-0.526352
231,2.2,2,,0.068512,-0.831543,-0.528793
232,2.2,2,,0.069916,-0.872482,-0.546066
233,1.7,2,,0.072739,-0.873459,-0.520294
234,1.6,2,,0.093231,-0.89238,-0.526978
235,2.1,2,,0.11116,-0.874649,-0.531158
236,1.7,2,,0.1082,-0.839691,-0.493622
